Week	Opponent	Result	Record	Attendance
1	New Orleans Saints	L 17-24	0-1	56,943
2	Minnesota Vikings	L 31-38	0-2	56,234
3	at Buffalo Bills	W 34-33	1-2	65,199
4	Arizona Cardinals	L 17-20	1-3	55,832
5	Bye	Bye	Bye	Bye
6	New York Jets	W 30-10	2-3	55,938
7	at Miami Dolphins	L 0-14	2-4	65,418
8	San Francisco 49ers	L 10-28	2-5	58,563
9	at Atlanta Falcons	L 15-37	2-6	37,996
10	at Chicago Bears	W 20-12	3-6	50,263
11	at New Orleans Saints	L 3-24	3-7	46,430
12	Carolina Panthers	L 20-24	3-8	50,716
13	Atlanta Falcons	L 10-21	3-9	47,971
14	at Philadelphia Eagles	L 14-17	3-10	66,155
15	New England Patriots	W 32-18	4-10	48,946
16	at Carolina Panthers	L 13-20	4-11	50,047
17	at San Francisco 49ers	L 19-38	4-12	68,386
