Round	Date	Opponent	Venue	Result	Attendance
1 Leg 1	16 September 2004	Baník Ostrava	Home	3-0	29,746
1 Leg 2	30 September 2004	Baník Ostrava	Away	1-1 (3-1 agg)	15,351
Grp E	21 October 2004	Egaleo	Away	1-0	4,000
Grp E	4 November 2004	Lazio	Home	2-0	33,991
Grp E	25 November 2004	Villarreal	Away	2-0	14,250
Grp E	15 December 2004	Partizan	Home	3-0	20,856
3 Leg 1	17 February 2005	Grazer AK	Away	2-2	13,000
3 Leg 2	24 February 2005	Grazer AK	Home	2-1 (4-3 agg)	20,371
4 Leg 1	10 March 2005	Sporting	Home	3-2	23,739
4 Leg 2	17 March 2005	Sporting	Away	1-0 (4-2 agg)	21,217
