No	Driver	Entrant	Constructor	Chassis	Engine
2	Ernst-Günther Burggaller	German Bugatti Team	Bugatti	Bugatti T35B	2.3 L8
4	Hermann zu Leiningen	German Bugatti Team	Bugatti	Bugatti T35C	2.0 L8
6	Heinrich-Joachim von Morgen	German Bugatti Team	Bugatti	Bugatti T35B	2.3 L8
8	Rudolf Caracciola	Private entry	Mercedes-Benz	Mercedes-Benz SSK L	7.1 L6
10	Earl Howe	Private entry	Bugatti	Bugatti T51	2.3 L8
12	Clifton Penn-Hughes	Private entry	Bugatti	Bugatti T35	2.0 L8
14	Henry Birkin	Private entry	Maserati	Maserati 26M	2.5 L8
16	Bernhard Ackerl	Private entry	Bugatti	Bugatti T37	1.5 L4
18	Juan Zanelli	Private entry	Bugatti	Bugatti T35B	2.3 L8
20	Guy Bouriat	Automobiles Ettore Bugatti	Bugatti	Bugatti T51	2.3 L8
22	Louis Chiron	Automobiles Ettore Bugatti	Bugatti	Bugatti T51	2.3 L8
24	Albert Divo	Automobiles Ettore Bugatti	Bugatti	Bugatti T51	2.3 L8
26	Achille Varzi	Automobiles Ettore Bugatti	Bugatti	Bugatti T51	2.3 L8
28	Philippe Étancelin	Private entry	Bugatti	Bugatti T35C	2.0 L8
30	Stanislas Czaykowski	Private entry	Bugatti	Bugatti T35B	2.3 L8
32	Marcel Lehoux	Private entry	Bugatti	Bugatti T35B	2.3 L8
34	William Grover-Williams	Private entry	Bugatti	Bugatti T35C	2.0 L8
36	Boris Ivanowski	Private entry	Mercedes-Benz	Mercedes-Benz SSK	7.1 L6
38	André Boillot	Private entry	Peugeot	Peugeot 174S	4.0 L4
40	Luigi Arcangeli	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 6C-1750	1.8 L6
42	Baconin Borzacchini	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 6C-1750	1.8 L6
44	Tazio Nuvolari	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 8C-2300	2.3 L8
46	Goffredo Zehender	Scuderia Ferrari	Alfa Romeo	Alfa Romeo 6C-1750 GS	1.8 L6
48	Clemente Biondetti	Officine A. Maserati	Maserati	Maserati 26M	2.5 L8
50	René Dreyfus	Officine A. Maserati	Maserati	Maserati 26M	2.5 L8
52	Luigi Fagioli	Officine A. Maserati	Maserati	Maserati 26M	2.5 L8
54	Carlo Pedrazzini	Private entry	Maserati	Maserati 26B	2.0 L8
