No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
89	1	"Second Opinion"	Ed Sherin	Michael S. Chernuchin & Jeremy R. Littman	September 21, 1994	69408
90	2	"Coma"	Jace Alexander	Ed Zuckerman	September 28, 1994	69406
91	3	"Blue Bamboo"	Don Scardino	Morgan Gendel , Hall Powell & René Balcer	October 5, 1994	69402
92	4	"Family Values"	Constantine Makris	William N. Fordes & René Balcer	October 12, 1994	69401
93	5	"White Rabbit"	Steve Robman	Ed Zuckerman & Morgan Gendel	October 19, 1994	69411
94	6	"Competence"	Fred Gerber	Michael S. Chernuchin & Mark B. Perry	November 2, 1994	69409
95	7	"Precious"	Constantine Makris	I. C. Rapoport & René Balcer	November 9, 1994	69410
96	8	"Virtue"	Martha Mitchell	Mark B. Perry & Jeremy R. Littman	November 23, 1994	69412
97	9	"Scoundrels"	Marc Laub	Ed Zuckerman & Charles C. Mann	November 30, 1994	69415
98	10	"House Counsel"	James Quinn	Michael S. Chernuchin & Barry M. Schkolnick	January 4, 1995	69413
99	11	"Guardian"	Christopher Misiano	Brad Markowitz, William N. Fordes & René Balcer	January 11, 1995	69404
100	12	"Progeny"	Don Scardino	Ed Zuckerman, Morgan Gendel & Mark B. Perry	January 25, 1995	69416
101	13	"Rage"	Arthur W. Forney	Michael S. Chernuchin	February 1, 1995	69414
102	14	"Performance"	Martha Mitchell	René Balcer, Jeremy R. Littman & Ed Zuckerman	February 8, 1995	69419
103	15	"Seed"	Don Scardino	Michael S. Chernuchin & Janis Diamond	February 15, 1995	69420
104	16	"Wannabe"	Lewis H. Gould	I. C. Rapoport & René Balcer	March 15, 1995	69417
105	17	"Act of God"	Constantine Makris	Ed Zuckerman & Walter Dallenbach	March 22, 1995	69422
106	18	"Privileged"	Vincent Misiano	Jeremy R. Littman & Suzanne O'Malley	April 5, 1995	69418
107	19	"Cruel and Unusual"	Matthew Penn	René Balcer & Michael S. Chernuchin	April 19, 1995	69423
108	20	"Bad Faith"	Dann Florek	René Balcer	April 26, 1995	69426
109	21	"Purple Heart"	Arthur W. Forney	Morgan Gendel & William N. Fordes	May 3, 1995	69421
110	22	"Switch"	Christopher Misiano	Jeremy R. Littman & Sibyl Gardner	May 17, 1995	69425
