Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Winner	1993	San Marino	Clay	Olli Rahnasto	Juan Garat Roberto Saad	6–4, 1–6, 6–3
Winner	1994	Hilversum, Netherlands	Clay	Jan Siemerink	David Adams Andrei Olhovskiy	6–4, 6–2
Runner-up	1997	Bucharest, Romania	Clay	Hendrik Jan Davids	Luis Lobo Javier Sánchez	5–7, 5–7
Runner-up	1997	Palermo, Italy	Clay	Hendrik Jan Davids	Andrew Kratzmann Libor Pimek	6–3, 3–6, 6–7
Winner	1997	Mexico City, Mexico	Clay	Nicolás Lapentti	Luis Herrera Mariano Sanchez	4–6, 6–3, 7–6
Runner-up	1998	Gstaad, Switzerland	Clay	Cyril Suk	Gustavo Kuerten Fernando Meligeni	4–6, 5–7
Winner	1998	Kitzbühel, Austria	Clay	Tom Kempers	Joshua Eagle Mark Kratzmann	6–3, 6–4
Winner	1998	Majorca, Spain	Clay	Pablo Albano	Jiří Novák David Rikl	7–6, 6–3
Runner-up	1998	Palermo, Italy	Clay	Pablo Albano	Donald Johnson Francisco Montana	4–6, 6–7
Runner-up	1998	Mexico City, Mexico	Clay	David Roditi	Jiří Novák David Rikl	4–6, 2–6
Winner	1999	Munich , Germany	Clay	Mariano Puerta	Massimo Bertolini Cristian Brandi	7–6, 3–6, 7–6
Winner	1999	Stuttgart, Germany	Clay	Jaime Oncins	Aleksandar Kitinov Jack Waite	6–2, 6–1
Runner-up	2001	Munich , Germany	Clay	Jaime Oncins	Petr Luxa Radek Štěpánek	7–5, 2–6, 6–7
Runner-up	2001	Sankt Pölten, Austria	Clay	Jaime Oncins	Petr Pála David Rikl	3–6, 7–5, 5–7
Winner	2001	Palermo, Italy	Clay	Tomás Carbonell	Enzo Artoni Emilio Benfele Álvarez	6–2, 2–6, 6–2
