Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	16–6–2	Douglas Lima	KO (head kick)	Bellator 100	2	4:33	Phoenix, Arizona , United States
Win	16–5–2	Raul Amaya	KO (head kick)	Bellator 90	1	2:56	West Valley City, Utah , United States
Win	15–5–2	Koffi Adzitso	Decision (unanimous)	Bellator 86	3	5:00	Thackerville, Oklahoma , United States
Win	14–5–2	Brian Warren	TKO (knees)	Bellator 72	1	0:22	Tampa, Florida , United States
Loss	13–5–2	Bryan Baker	Decision (unanimous)	Bellator 67	3	5:00	Rama, Ontario , Canada
Win	13–4–2	Raul Amaya	Decision (unanimous)	Bellator 63	3	5:00	Uncasville, Connecticut , United States
Loss	12–4–2	Douglas Lima	KO (punches)	Bellator 57	2	1:21	Rama, Ontario , Canada
Win	12–3–2	Luis Santos	Submission (americana)	Bellator 53	3	1:45	Miami, Oklahoma , United States
Win	11–3–2	Chris Cisneros	TKO (knee and punches)	Bellator 49	3	0:29	Atlantic City, New Jersey , United States
Win	10–3–2	Matt Lee	TKO (doctor stoppage)	Bellator 39	3	1:24	Uncasville, Connecticut , United States
Win	9–3–2	Elijah Harshbarger	Submission (punches and elbows)	WEF: Saunders vs. Harshbarger	1	4:21	Kissimmee, Florida , United States
Loss	8–3–2	Dennis Hallman	Decision (unanimous)	UFC 117	3	5:00	Oakland, California , United States
Loss	8–2–2	Jon Fitch	Decision (unanimous)	UFC 111	3	5:00	Newark, New Jersey , United States
Win	8–1–2	Marcus Davis	KO (knees)	UFC 106	1	3:24	Las Vegas, Nevada , United States
Loss	7–1–2	Mike Swick	TKO (punches)	UFC 99	2	3:47	Cologne , Germany
Win	7–0–2	Brandon Wolff	TKO (knees)	UFC: Fight for the Troops	1	1:49	Fayetteville, North Carolina , United States
Win	6–0–2	Ryan Thomas	Submission (armbar)	UFC 87	2	2:28	Minneapolis, Minnesota , United States
Win	5–0–2	Dan Barrera	Decision (unanimous)	The Ultimate Fighter 6 Finale	3	5:00	Las Vegas, Nevada , United States
Win	4–0–2	Charles Blanchard	Submission (armbar)	Combat Fighting Championships 3	1	0:46	Orlando, Florida , United States
Win	3–0–2	Kenny Stevens	TKO (punches)	Combat Fighting Championship 1	3	3:05	Orlando, Florida , United States
Win	2–0–2	Rick Delvecchio	KO (head kick)	Absolute Fighting Championships 15	1	4:31	Fort Lauderdale, Florida , United States
Win	1–0–2	Reggie Pena	Submission (triangle choke)	Absolute Fighting Championships 14	1	1:12	Fort Lauderdale, Florida , United States
Draw	0–0–2	Diego Lionel Vitosky	Draw	Absolute Fighting Championships 12	2	5:00	Fort Lauderdale, Florida , United States
Draw	0–0–1	Crafton Wallace	Draw	Absolute Fighting Championships 8	2	5:00	Fort Lauderdale, Florida , United States
