Name	Position	Period	Appearances¹	Goals¹	Nationality²
David N'Gog	Forward	2006 – 2008	25	3	France
Michel N'Gom	Attaquant	1981 – 1984	90	26	France
Bruno N'Gotty	Defender	1995 – 1998	112	10	France
Granddi Ngoyi	Midfielder	2007 - 2011	35	0	Democratic Republic of the Congo
Nenê	Midfielder	2010 - 2013	112	58	Brazil
Richard Niederbacher	Forward	1984 – 1985	22	7	Austria
William N'Jo Léa	Forward	1984 – 1985	18	4	France
Guy Nosibor	Forward	1973 – 1977, 1978 – 1979	42	6	France
Pascal Nouma	Forward	1989 – 1992, 1994 – 1996	95	14	France
Jacky Novi	Defender	1974 – 1977	122	2	France
