Week 2	Week 4	Week 6	Week 11	Week 12	Week 13	Week 15
Kasia L Ewelina	Ewelina Kasia L	Magda Agata	Kasia L Kaśka	Kasia L Zofia	Mariusz Marco	Izabella Mariusz
Bartek Gerard	Izabella Ewelina	Adrian Jola	Izabella Marian	Izabella Marian	Adrian Jola	Adrian Izabella
Agata Tomek	Gerard Ewelina	Magda Kasia L	Marian Kaśka	Kasia L Zofia	Kasia L Marian	Mariusz Kasia L
Not in House	Not in House	Not in House	Kaśka Jola	Izabella Jola	Izabella Marian	Izabella Jola
Magda Tomek	Ewelina Magda	Kaśka Marco	Kasia L Kaśka	Kasia L Mariusz	Mariusz Kasia L	Mariusz Jola
Grzegorz Jola	Magda Ewelina	Magda Kaśka	Kaśka Zofia	Jola Zofia	Jola Izabella	Evicted (Day 95)
Not in House	Not in House	Not in House	Kasia L Mariusz	Adrian Kasia L	Adrian Kasia L	Evicted (Day 92)
Not in House	Not in House	Not in House	Izabella Marian	Adrian Izabella	Evicted (Day 85)	Evicted (Day 85)
Not in House	Not in House	Izabella Kasia L	Jola Izabella	Evicted (Day 78)	Evicted (Day 78)	Evicted (Day 78)
Not in House	Not in House	Not in House	Evicted (Day 71)	Evicted (Day 71)	Evicted (Day 71)	Evicted (Day 71)
Not in House	Not in House	Not in House	Evicted (Day 64)	Evicted (Day 64)	Evicted (Day 64)	Evicted (Day 64)
Adrian Gerard	Izabella Adrian	Jola Adrian	Evicted (Day 50)	Evicted (Day 50)	Evicted (Day 50)	Evicted (Day 50)
Izabella Adrian	Izabella Adrian	Jola Adrian	Evicted (Day 43)	Evicted (Day 43)	Evicted (Day 43)	Evicted (Day 43)
Not in House	Not in House	Evicted (Day 36)	Evicted (Day 36)	Evicted (Day 36)	Evicted (Day 36)	Evicted (Day 36)
Agata Kasia L	Izabella Agata	Walked (Day 36)	Walked (Day 36)	Walked (Day 36)	Walked (Day 36)	Walked (Day 36)
Adrian Grzegorz	Izabella Adrian	Evicted (Day 29)	Evicted (Day 29)	Evicted (Day 29)	Evicted (Day 29)	Evicted (Day 29)
Not in House	Ejected (Day 25)	Ejected (Day 25)	Ejected (Day 25)	Ejected (Day 25)	Ejected (Day 25)	Ejected (Day 25)
Grzegorz Kasia L	Ejected (Day 24)	Ejected (Day 24)	Ejected (Day 24)	Ejected (Day 24)	Ejected (Day 24)	Ejected (Day 24)
Adrian Jola	Evicted (Day 22)	Evicted (Day 22)	Evicted (Day 22)	Evicted (Day 22)	Evicted (Day 22)	Evicted (Day 22)
Bartek Ewelina	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)
Evicted (Day 8)	Evicted (Day 8)	Evicted (Day 8)	Evicted (Day 8)	Evicted (Day 8)	Evicted (Day 8)	Evicted (Day 8)
Ejected (Day 5)	Ejected (Day 5)	Ejected (Day 5)	Ejected (Day 5)	Ejected (Day 5)	Ejected (Day 5)	Ejected (Day 5)
none	none	None	none	none	none	none
Adrian Grzegorz Kasia L	Ewelina Izabella	Adrian Jola Magda	Izabella Kasia L Kaśka Marian	Izabella Kasia L Zofia	Adrian Izabella Jola Kasia L Marian Mariusz	Izabella Mariusz
Grzegorz -0.6% to evict	Ewelina -5.5% to evict	Magda -0.8% to evict	Kaśka -3.4% to evict	Zofia -11.0% to evict	Marian -3.2% to evict	Izabella 5.9% to save
