Rank	Centre	Country	Rating	Change
41	Isle of Man ( CD )	Isle of Man ( CD )	638	7
42	Abu Dhabi	United Arab Emirates	637	12
43	Wellington	New Zealand	636	10
44	Istanbul	Turkey	633	7
45	Amsterdam	Netherlands	629	26
46	Buenos Aires	Argentina	628	5
47	Riyadh	Saudi Arabia	627	29
48	British Virgin Islands ( BOT )	British Virgin Islands ( BOT )	626	14
49	Copenhagen	Denmark	625	18
50	Taipei	Taiwan	619	34
51	Milan	Italy	618	34
52	Bahrain	Bahrain	610	3
53	Malta	Malta	608	13
54	Madrid	Spain	607	28
55	Jakarta	Indonesia	606	14
56	Dublin	Ireland	605	22
57	Helsinki	Finland	604	30
58	Bangkok	Thailand	600	19
59	Beijing	China	598	24
60	Brussels	Belgium	597	44
61	Johannesburg	South Africa	592	18
62	Edinburgh	United Kingdom	590	42
63	Panama City	Panama	589	8
64	Manila	Philippines	587	1
65	Glasgow	United Kingdom	586	50
66	Mexico City	Mexico	584	44
67	The Bahamas	The Bahamas	583	4
68	Mauritius	Mauritius	581	9
69	Moscow	Russia	580	26
70	Gibraltar ( BOT )	Gibraltar ( BOT )	572	43
71	Warsaw	Poland	571	37
72	Mumbai	India	570	35
73	Prague	Czech Republic	565	46
74	Cyprus	Cyprus	536	40
75	Lisbon	Portugal	535	17
76	Saint Petersburg	Russia	522	63
77	Budapest	Hungary	515	26
78	Tallinn	Estonia	495	94
79	Reykjavik	Iceland	479	67
80	Athens	Greece	469	4
