Week	Date	Opponent	Result	Attendance
1	September 3, 1967	at Denver Broncos	L 26-21	35,488
2	September 9, 1967	at San Diego Chargers	L 28–14	39,227
3	September 17, 1967	at Oakland Raiders	L 35-7	26,289
4	September 24, 1967	at Buffalo Bills	W 23-0	45,748
5	Bye	Bye	Bye	Bye
6	October 8, 1967	at San Diego Chargers	T 31–31	23,620
7	October 15, 1967	Miami Dolphins	W 41-10	23,955
8	October 22, 1967	Oakland Raiders	L 48-14	25,057
9	October 29, 1967	at New York Jets	L 30–23	62,784
10	November 5, 1967	Houston Oilers	W 18-7	19,422
11	November 12, 1967	Kansas City Chiefs	L 33–10	23,010
12	November 19, 1967	New York Jets	L 29-24	26,790
13	November 26, 1967	at Houston Oilers	L 27-6	28,044
14	Bye	Bye	Bye	Bye
15	December 9, 1967	Buffalo Bills	L 44–16	20,627
16	December 17, 1967	at Miami Dolphins	L 41–32	25,969
