Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1998	March 1	Mark Martin	Roush Racing	Ford	267	400.5 (644.542)	2:43:58	146.554	Report
1999	March 7	Jeff Burton	Roush Racing	Ford	267	400.5 (644.542)	2:54:43	137.537	Report
2000	March 5	Jeff Burton	Roush Racing	Ford	148*	222 (357.274)	1:51:01	119.982	Report
2001	March 4	Jeff Gordon	Hendrick Motorsports	Chevrolet	267	400.5 (644.542)	2:57:17	135.546	Report
2002	March 3	Sterling Marlin	Chip Ganassi Racing	Dodge	267	400.5 (644.542)	2:55:43	136.754	Report
2003	March 2	Matt Kenseth	Roush Racing	Ford	267	400.5 (644.542)	3:00:46	132.934	Report
2004	March 7	Matt Kenseth	Roush Racing	Ford	267	400.5 (644.542)	3:06:35	128.79	Report
2005	March 13	Jimmie Johnson	Hendrick Motorsports	Chevrolet	267	400.5 (644.542)	3:18:32	121.038	Report
2006 *	March 12	Jimmie Johnson	Hendrick Motorsports	Chevrolet	270*	405 (651.784)	3:02:13	133.358	Report
2007 *	March 11	Jimmie Johnson	Hendrick Motorsports	Chevrolet	267	400.5 (644.542)	3:07:28	128.183	Report
2008	March 2	Carl Edwards	Roush Fenway Racing	Ford	267	400.5 (644.542)	3:08:08	127.729	Report
2009	March 1	Kyle Busch	Joe Gibbs Racing	Toyota	285	427.5 (687.994)	3:34:37	119.515	Report
2010	February 28	Jimmie Johnson	Hendrick Motorsports	Chevrolet	267	400.5 (644.542)	2:49:53	141.450	Report
2011	March 6	Carl Edwards	Roush Fenway Racing	Ford	267	400.5 (644.542)	2:57:20	135.508	Report
2012	March 11	Tony Stewart *	Stewart-Haas Racing	Chevrolet	267	400.5 (644.542)	2:54:44	137.524	Report
