Fin. Pos	Car No.	Driver	Team	Laps	Time/Retired	Grid	Laps Led	Points
1	9	Scott Dixon	Target Chip Ganassi	60	1:43:51.5094	2	23	50+3
2	6	Sam Hornish, Jr.	Team Penske	60	+6.2591	5	0	40
3	27	Dario Franchitti	Andretti Green	60	+9.7492	3	0	35
4	11	Tony Kanaan	Andretti Green	60	+14.4830	4	0	32
5	26	Marco Andretti	Andretti Green	60	+15.4749	6	9	30
6	15	Buddy Rice	Dreyer & Reinbold Racing	60	+26.9171	7	0	28
7	10	Dan Wheldon	Target Chip Ganassi	60	+35.3515	10	1	26
8	55	Kosuke Matsuura	Panther Racing	60	+40.7037	11	0	24
9	14	Darren Manning	A.J. Foyt Racing	60	+47.6893	9	0	22
10	17	Jeff Simmons	Rahal Letterman	60	+54.8895	12	0	20
11	7	Danica Patrick	Andretti Green	60	+57.0833	15	0	19
12	20	Ed Carpenter	Vision Racing	60	+1:06.9352	17	0	18
13	2	Tomas Scheckter	Vision Racing	60	+1:07.7275	13	0	17
14	8	Scott Sharp	Rahal Letterman	60	+1:10.3164	14	0	16
15	22	A. J. Foyt IV	Vision Racing	60	+1:25.2853	16	0	15
16	5	Sarah Fisher	Dreyer & Reinbold Racing	58	+2 Laps	18	0	14
17	4	Vitor Meira	Panther Racing	58	+2 Laps	8	8	13
18	3	Hélio Castroneves	Team Penske	19	Accident	1	19	12
