Commune	Area (km 2 )	2002 population	Pop. density (km 2 )	Municipality website
Santiago (Capital)	22.4	200792	8,963.9	link
Vitacura	28.3	81499	2,879.8	link
San Ramón	6.5	94906	14,600.9	link
San Miguel	9.5	78872	8,302.3	link
San Joaquín	9.7	97625	10,064.4	link
Renca	24.2	133518	5,517.3	link
Recoleta	16.2	148220	9,149.4	link
Quinta Normal	12.4	104012	8,388.1	link
Quilicura	57.5	126518	2,200.3	link
Pudahuel	197.4	195653	991.1	link
Providencia	14.4	120874	8,394.0	link
Peñalolén	54.2	216060	3,986.3	link
Pedro Aguirre Cerda	9.7	114560	11,810.3	link
Ñuñoa	16.9	163511	9,675.2	link
Maipú	133.0	468390	3,521.7	link
Macul	12.9	112535	8,723.6	link
Lo Prado	6.7	104316	15,569.6	link
Lo Espejo	7.2	112800	15,666.7	link
Lo Barnechea	1,023.7	74749	73.0	link
Las Condes	99.4	249893	2,514.0	link
La Reina	23.4	96762	4,135.1	link
La Pintana	30.6	190085	6,211.9	link
La Granja	10.1	132520	13,120.8	link
La Florida	70.8	365674	5,164.9	link
La Cisterna	10.0	85118	8,511.8	link
Independencia	7.4	65479	8,848.5	link
Huechuraba	44.8	74070	1,653.3	link
Estación Central	14.1	130394	9,247.8	link
El Bosque	14.1	175594	12,453.5	link
Conchalí	70.7	133256	1,884.8	link
Cerro Navia	11.1	148312	13,361.4	link
