Artist	Country	Number-one single(s)	Year	Weeks at #1	Straight to #1 ?
J-five	United States	" Modern Times "	2004	1	No
Jackson, Jermaine	United States	" When the Rain Begins to Fall "	1984	3	No
Jackson, Michael	United States	" Black or White "	1991	2	No
Jackson, Michael	United States	" You Are Not Alone "	1995	2	No
Jackson, Michael	United States	" You Rock My World "	2001	3	Yes
Jean, Wyclef	Haiti	" Hips Don't Lie " 1	2006	1	Yes
Jessie J	United Kingdom	" Price Tag "	2011	1	No
Jigulina, Vika	Romania	" Stereo Love "	2009	4	No
Jive Bunny and the Mastermixers	United Kingdom	" Swing the Mood "	1989	5	No
John, Elton	United Kingdom	" Sacrifice "	1990	3	No
John, Elton	United Kingdom	" Don't Let the Sun Go Down on Me "	1991	7	No
John, Elton	United Kingdom	" Can You Feel the Love Tonight "	1993	10	No
Jones, Michael	United Kingdom	" Je te donne "	1985	8	No
Jones, Tom	United Kingdom	" Sex Bomb "	2000	7	No
Jordy	France	" Dur dur d'être bébé! "	1992	15	No
Jordy	France	"Alison"	1993	5	No
