Date	Visitor	Score	Home	Attendance	Record	Points
November 1	Pittsburgh	2–3	Philadelphia	14,620	2–5–3	7
November 4	Vancouver	3–8	Pittsburgh	5,029	3–5–3	9
November 7	Boston	2–2	Pittsburgh	12,909	3–5–4	10
November 8	Pittsburgh	3–3	Detroit	12,662	3–5–5	11
November 10	Los Angeles	5–1	Pittsburgh	8,089	3–6–5	11
November 11	Pittsburgh	3–3	NY Rangers	17,250	3–6–6	12
November 14	California	1–6	Pittsburgh	11,075	4–6–6	14
November 19	St. Louis	1–0	Pittsburgh	9,027	4–7–6	14
November 21	Detroit	1–6	Pittsburgh	11,298	5–7–6	16
November 22	Pittsburgh	2–4	Boston	14,994	5–8–6	16
November 24	Pittsburgh	4–4	Toronto	16,384	5–8–7	17
November 25	Buffalo	4–4	Pittsburgh	9,705	5–8–8	18
November 28	Pittsburgh	1–5	Montreal	16,838	5–9–8	18
November 29	Pittsburgh	2–6	NY Rangers	17,250	5–10–8	18
