Edition	Zone	Round	Date	Against	Surface	Partner	Opponents	Result
2004	Europe/Africa Group I	1R	20 April 2004	Lithuania	Clay	Dragana Zarić	Edita Liachovičiūtė Lina Stančiūtė	Win 7–5, 6–3
2004	Europe/Africa Group I	2R	22 April 2004	Sweden	Clay	Jelena Janković	Michaela Johansson Nadja Roma	Win 6–2, 6–0
2004	Europe/Africa Group I	Quarterfinals	24 April 2004	Bulgaria	Clay	Dragana Zarić	Sesil Karatantcheva Maria Penkova	Loss 6–4, 2–6, 6–3
2005	Europe/Africa Group I C	1R	22 April 2005	Great Britain	Clay	Dragana Zarić	Katie O'Brien Jane O'Donoghue	Loss 6–2, 6–4
2006	Europe/Africa Group I B	2R	19 April 2006	South Africa	Clay	Danica Krstajić	Elze Potgieter Michelle Sammons	Win 6–1, 6–1
2007	Europe/Africa Group I C	1R	18 April 2007	Estonia	Clay	Vojislava Lukić	Margit Rüütel Anett Schutting	Win 6–2, 5–7, 6–3
2007	Europe/Africa Group I C	2R	19 April 2007	Sweden	Clay	Jelena Janković	Sofia Arvidsson Johanna Larsson	Loss 6–2, 5–7, 6–3
2007	Europe/Africa Group I C	3R	20 April 2007	Slovenia	Clay	Jelena Janković	Andreja Klepač Maša Zec Peškirič	Win 3–6, 6–2, 9–7
2007	Europe/Africa Group I	Semifinal	21 April 2007	Romania	Clay	Jelena Janković	Mădălina Gojnea Monica Niculescu	Win 6–4, 6–1
2007	World Group II Play–offs	Quarterfinal	15 July 2007	Slovakia	Clay	Ana Jovanović	Daniela Hantuchová Jana Juričová	Loss 6–4, 6–2
