State	Votes	Votes since 1856	Democratic votes	D votes since 1856	% of D votes	D % since 1856	Republican votes	% of R votes	R % since 1856	Other votes	O votes since 1856	% of O votes	O % since 1856
Alabama	47	38	29	22	61.7%	57.89%	12	25.53%	31.58%	6	4	12.77%	10.53%
Alaska	13	13	1	1	7.69%	7.69%	12	92.31%	92.31%	0	0	0%	0%
Arizona	25	25	8	8	32%	32%	17	68%	68%	0	0	0%	0%
Arkansas	43	38	32	27	74.42%	71.05%	9	20.93%	23.68%	2	2	4.65%	5.26%
California	40	39	16	15	40%	38.46%	23	57.5%	58.97%	1	1	2.5%	2.56%
Colorado	34	34	11	11	32.35%	32.35%	22	64.71%	64.71%	1	1	2.94%	2.94%
Connecticut	56	39	18	16	32.14%	41.03%	23	41.07%	58.97%	15	0	26.79%	0%
Delaware	56	39	21	20	37.5%	51.28%	18	32.14%	46.15%	17	1	30.36%	2.56%
D.C.	12	12	12	12	100%	100%	0	0%	0%	0	0	0%	0%
Florida	40	38	23	22	57.5%	57.89%	15	37.5%	39.47%	2	1	5%	2.63%
Georgia	55	38	32	28	58.18%	73.68%	8	14.55%	21.05%	15	2	27.27%	5.26%
Hawaii	13	13	11	11	84.62%	84.62%	2	15.38%	15.38%	0	0	0%	0%
Idaho	30	30	10	10	33.33%	33.33%	19	63.33%	63.33%	1	1	3.33%	3.33%
Illinois	48	39	22	15	45.83%	38.46%	24	50%	61.54%	2	0	4.17%	0%
Indiana	49	39	15	9	30.61%	23.08%	30	61.22%	76.92%	4	0	8.16%	0%
Iowa	41	39	12	10	29.27%	25.64%	29	70.73%	74.36%	0	0	0%	0%
Kansas	37	37	6	6	16.22%	16.22%	30	81.08%	81.08%	1	1	2.7%	2.7%
Kentucky	55	39	26	25	47.27%	64.1%	13	23.64%	33.33%	16	1	29.09%	2.56%
Louisiana	49	38	29	24	59.18%	63.16%	11	22.45%	28.95%	9	3	18.37%	7.89%
Maine	48	39	14	9	29.17%	23.08%	30	62.5%	76.92%	4	0	8.33%	0%
Maryland	56	39	26	25	46.43%	64.1%	12	21.43%	30.77%	18	2	32.14%	5.13%
Massachusetts	56	39	18	18	32.14%	46.15%	21	37.5%	53.85%	17	0	30.36%	0%
Michigan	44	39	15	11	34.09%	28.21%	27	61.36%	69.23%	2	1	4.55%	2.56%
Minnesota	38	38	17	17	44.74%	44.74%	20	52.63%	52.63%	1	1	2.63%	2.63%
Mississippi	46	37	28	22	60.87%	59.46%	11	23.91%	29.73%	7	4	15.22%	10.81%
Missouri	48	39	29	22	60.42%	56.41%	16	33.33%	41.03%	3	1	6.25%	2.56%
Montana	30	30	11	11	36.67%	36.67%	19	63.33%	63.33%	0	0	0%	0%
Nebraska	36	36	7	7	19.44%	19.44%	29	80.56%	80.56%	0	0	0%	0%
Nevada	37	37	16	16	43.24%	43.24%	20	54.05%	54.05%	1	1	2.7%	2.7%
New Hampshire	56	39	16	10	28.57%	25.64%	29	51.79%	74.36%	11	0	19.64%	0%
New Jersey	56	39	22	20	39.29%	51.28%	19	33.93%	48.72%	15	0	26.79%	0%
New Mexico	25	25	13	13	52%	52%	12	48%	48%	0	0	0%	0%
New York	55	39	24	19	43.64%	48.72%	20	36.36%	51.28%	11	0	20%	0%
North Carolina	54	38	29	25	53.7%	65.79%	12	22.22%	31.58%	13	1	24.07%	2.63%
North Dakota	30	30	5	5	16.67%	16.67%	24	80%	80%	1	1	3.33%	3.33%
Ohio	52	39	15	11	28.85%	28.21%	28	53.85%	71.79%	9	0	17.31%	0%
Oklahoma	26	26	10	10	38.46%	38.46%	16	61.54%	61.54%	0	0	0%	0%
Oregon	38	38	13	13	34.21%	34.21%	25	65.79%	65.79%	0	0	0%	0%
Pennsylvania	56	39	18	13	32.14%	33.33%	25	44.64%	64.1%	13	1	23.21%	2.56%
Rhode Island	55	39	20	18	36.36%	46.15%	21	38.18%	53.85%	14	0	25.45%	0%
South Carolina	55	38	27	22	49.09%	57.89%	14	25.45%	36.84%	14	2	25.45%	5.26%
South Dakota	30	30	4	4	13.33%	13.33%	25	83.33%	83.33%	1	1	3.33%	3.33%
Tennessee	53	38	25	23	47.17%	60.53%	14	26.42%	36.84%	14	1	26.42%	2.63%
Texas	39	37	26	24	66.67%	64.86%	12	30.77%	32.43%	1	1	2.56%	2.7%
Utah	29	29	8	8	27.59%	27.59%	21	72.41%	72.41%	0	0	0%	0%
Vermont	55	39	6	6	10.91%	15.38%	33	60%	84.62%	16	0	29.09%	0%
Virginia	54	37	27	20	50%	54.05%	16	29.63%	43.24%	11	1	20.37%	2.7%
Washington	30	30	15	15	50%	50%	14	46.67%	46.67%	1	1	3.33%	3.33%
West Virginia	37	37	20	20	54.05%	54.05%	17	45.95%	45.95%	0	0	0%	0%
Wisconsin	41	39	16	14	39.02%	35.9%	24	58.54%	61.54%	1	1	2.44%	2.56%
Wyoming	30	30	8	8	26.67%	26.67%	22	73.33%	73.33%	0	0	0%	0%
