Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	69	1:41:12.313	1
Rubens Barrichello	Ferrari	69	+0.174	3
Giancarlo Fisichella	Benetton - Playlife	69	+15.365	10
Mika Häkkinen	McLaren - Mercedes	69	+18.561	4
Jos Verstappen	Arrows - Supertec	69	+52.208	13
Jarno Trulli	Jordan - Mugen-Honda	69	+1:01.687	7
David Coulthard	McLaren - Mercedes	69	+1:02.216	2
Ricardo Zonta	BAR - Honda	69	+1:10.455	8
Alexander Wurz	Benetton - Playlife	69	+1:19.899	14
Pedro Diniz	Sauber - Petronas	69	+1:54.544	19
Jenson Button	Williams - BMW	68	+1 Lap	18
Gastón Mazzacane	Minardi - Fondmetal	68	+1 Lap	22
Eddie Irvine	Jaguar - Cosworth	66	+3 Laps	16
Ralf Schumacher	Williams - BMW	64	Collision	12
Jacques Villeneuve	BAR - Honda	64	Collision	6
Marc Gené	Minardi - Fondmetal	64	Spun off	20
Pedro de la Rosa	Arrows - Supertec	48	Collision	9
Mika Salo	Sauber - Petronas	42	Electrical	15
Jean Alesi	Prost - Peugeot	38	Electrical	17
Nick Heidfeld	Prost - Peugeot	34	Engine	21
Heinz-Harald Frentzen	Jordan - Mugen-Honda	32	Brakes	5
Johnny Herbert	Jaguar - Cosworth	14	Gearbox	11
