Season	Winner	Score	Runner-up	lost to eventual winner	lost to eventual runner-up
1947	US Gorée	2 - 1	ASC Jeanne d'Arc	Espoir Saint-Louis	Espérance Rufisque
1948	Foyer France Sénégal	4 - 0	Jeunesse Club d'Abidjan	Saint-Louisienne	Racing Club de Conakry
1949	Racing Club de Dakar	3 - 0	Racing Club de Conakry	Espoir Saint-Louis	USC Bassam
1949/50	Racing Club de Conakry	4 - 2	Espoir Saint-Louis	USC Bassam	Jeanne d'Arc (Bamako)
1950/51	ASC Jeanne d'Arc	3 - 1	Jeanne d'Arc (Bamako)	Africa Sports	US Indigène
1951/52	ASC Jeanne d'Arc	2 - 0	Etoile Sportive Porto Novo	Africa Sports	Foyer France Sénégal
1952/53	Jeanne d'Arc (Bamako)	3 - 1	Racing Club de Conakry	US Gorée	Jeunesse Club d'Abidjan
1953/54	US Gorée	1 - 0	Foyer du Soudan	Etoile Sportive Porto-Novo	Racing Club de Conakry
1954/55	US Gorée	7 - 0	ASEC Abidjan	AS Porto-Novo	Avenir Saint-Louis
1955/56	Jeanne d'Arc (Bamako)	3 - 0	ASEC Abidjan	Foyer France Sénégal	Essor
1956/57	Réveil de Saint-Louis	4 - 1	Africa Sports	Etoile Filante (Lomé)	Jeanne d'Arc (Bamako)
1957/58	Africa Sports	5 - 0	ASEC Abidjan	Foyer France Sénégal	Société Sportive de Guinée
1958/59	Saint-Louisienne	2 - 1	Modèle Lomé	Stella d'Abidjan	ASC Jeanne d'Arc
