Name	Pos.	Height	Weight	Date of Birth	Club
Galina Rytova	GK	m (ft 9in)	kg (lb)	1975-09-10	Rari Nantes Augusta
Anna Zubkova	D	m (ft 7in)	kg (lb)	1980-02-03	Uralochka Zlatoust
Tatyana Gubina	CB	m (ft 10in)	kg (lb)	1977-12-15	Eurasia Rakhat
Svetlana Khapsalis	GK	m (ft 1in)	kg (lb)	1973-06-15	Eurasia Rakhat
Svetlana Koroleva	D	m (ft 9in)	kg (lb)	1973-09-07	Eurasia Rakhat
Natalya Krassilnikova	CB	m (ft 8in)	kg (lb)	1982-01-02	Eurasia Rakhat
Alyona Klimenko	D	m (ft 5in)	kg (lb)	1982-09-19	Eurasia Rakhat
Yekaterina Gariyeva	CF	m (ft 9in)	kg (lb)	1981-06-11	Eurasia Rakhat
Assel Jakayeva	CF	m (ft 6in)	kg (lb)	1980-03-14	Kinef Kirishi
Marina Gritsenko	D	m (ft 8in)	kg (lb)	1980-08-17	Eurasia Rakhat
Larissa Mikhailova	D	m (ft 7in)	kg (lb)	1981-07-13	Uralochka Zlatoust
Natalya Ignatyeva	D	m (ft 6in)	kg (lb)	1978-08-17	Eurasia Rakhat
Irina Tolkunova	D	m (ft 7in)	kg (lb)	1971-06-02	Volturno SC
Head Coach: Stanislav Pivovarov	Head Coach: Stanislav Pivovarov	Head Coach: Stanislav Pivovarov	Head Coach: Stanislav Pivovarov	Head Coach: Stanislav Pivovarov	Head Coach: Stanislav Pivovarov
