Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	5	2	2	9
2	Japan	5	0	1	6
3	Georgia	2	0	2	4
4	Uzbekistan	2	0	0	2
5	United States	1	6	2	9
6	Bulgaria	1	1	1	3
6	Ukraine	1	1	1	3
8	Poland	1	1	0	2
8	Sweden	1	1	0	2
10	Azerbaijan	1	0	0	1
10	Israel	1	0	0	1
12	Cuba	0	2	1	3
13	South Korea	0	1	2	3
14	Hungary	0	1	1	2
14	Iran	0	1	1	2
16	Belarus	0	1	0	1
16	Germany	0	1	0	1
16	Egypt	0	1	0	1
16	Moldova	0	1	0	1
20	China	0	0	2	2
20	Kazakhstan	0	0	2	2
22	Canada	0	0	1	1
22	Romania	0	0	1	1
22	Slovakia	0	0	1	1
Total	Total	21	21	21	63
