No. in series	Title	Directed by	Written by	Original air date	Production code
1	" Pilot "	Todd Holland	Linwood Boomer	January 9, 2000	10012-99-179
2	"Red Dress"	Arlene Sanford	Alan J. Higgins	January 16, 2000	06-99-103
3	"Home Alone 4"	Todd Holland	Michael Glouberman & Andrew Orenstein	January 23, 2000	06-99-106
4	"Shame"	Nick Marck	David Richardson	February 6, 2000	06-99-107
5	"Malcolm Babysits"	Jeff Melman	Maggie Bandur & Pang-Ni Landrum	February 13, 2000	06-99-105
6	"Sleepover"	Ken Kwapis	Dan Kopelman	February 20, 2000	06-99-110
7	"Francis Escapes"	Todd Holland	Linwood Boomer	February 27, 2000	06-99-101
8	"Krelboyne Picnic"	Todd Holland	Michael Glouberman & Andrew Orenstein	March 12, 2000	06-99-109
9	"Lois vs. Evil"	Todd Holland	Jack Amiel & Michael Begler	March 19, 2000	06-99-104
10	"Stock Car Races"	Todd Holland	David Richardson	April 2, 2000	06-99-102
11	"Funeral"	Arlene Sanford	Maggie Bandur & Pang-Ni Landrum	April 9, 2000	06-99-111
12	"Cheerleader"	Todd Holland	Dan Kopelman	April 16, 2000	06-99-112
13	"Rollerskates"	Ken Kwapis	Alan J. Higgins	April 30, 2000	06-99-108
14	"The Bots and the Bees"	Chris Koch	Alan J. Higgins & David Richardson	May 7, 2000	06-00-202
15	"Smunday"	Jeff Melman	Michael Glouberman & Andrew Orenstein	May 14, 2000	06-00-201
