Country/Region	Local title	Television network	Seasons and winners	Judges	Presenters
Czech Republic	X Factor	TV Nova Website	Season 1, 2008: Jiří Zonyga	Gábina Osvaldová Ondřej Soukup Petr Janda	Leoš Mareš
Finland	X Factor	MTV3 Website	Season 1, 2010: Elias Hämäläinen	Linda Brava Renne Korppila Gugi Kokljuschkin	Heikki Paasonen Jukka Rossi (Xtra Factor)
India	X Factor India	Sony Entertainment TV Website	Season 1, 2011: Geet Sagar	Sonu Nigam Shreya Ghoshal Sanjay Leela Bhansali	Aditya Narayan
Israel	The X Factor ישראל The X Factor Israel	Channel 2 – Reshet Website	Season 1, 2013: Current Season	Rami Fortis Moshe Peretz Ivri Lider Shiri Maimon	Bar Refaeli
Slovakia	X Factor Slovensko	TV JOJ	Season 1, 2014: Upcoming season	TBA	TBA
Slovenia	X Faktor	POP TV	Season 1, 2012: Demetra Malalan	Damjan Damjanovič Jadranka Juras Aleš Uranjek	Peter Poles Vid Valič
Sweden	X Factor	TV4 Website	Season 1, 2012: Awa Santesson-Sey	Andreas Carlsson Marie Serneholt Orup Ison Glasgow	David Hellenius
Turkey	X Factor	Kanal D	Season 1, 2013–2014: Upcoming season	Gülşen Mustafa Ceceli Armağan Çağlayan	Gamze Özçelik
United Kingdom	The X Factor: Battle of the Stars	ITV Website	Series 1, 2006: Lucy Benjamin	Simon Cowell Sharon Osbourne Louis Walsh	Kate Thornton
United States	El Factor X The X Factor	MundoFox	Season 1, 2013: Los Tres Charritos	Belinda Angélica María Chino & Nacho	Poncho de Anda
