Series #	Season #	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
119	1	"Lost Boy"	John Polson	Byron Balasco, Greg Walker	September27,2007	16.73
120	2	"Clean Up"	Chris Long	Gwendolyn M. Parker	October4,2007	14.20
121	3	"Res Ipsa"	Greg Walker	Greg Walker	October11,2007	13.62
122	4	"Baggage"	Scott White	Diego Gutierrez, Jan Nash	October25,2007	12.73
123	5	"Run"	Kate Woods	Jan Nash	November1,2007	14.58
124	6	"Where and Why"	Jonathan Kaplan	Jan Nash, Greg Walker	November8,2007	21.68
125	7	"Absalom"	Martha Mitchell	Jose Molina	November15,2007	14.41
126	8	"Fight/Flight"	Jeannot Szwarc	David H. Goodman	November22,2007	12.21
127	9	"One Wrong Move"	Jeff T. Thomas	Gwendolyn M. Parker, Diego Gutierrez	December6,2007	12.68
128	10	"Claus and Effect"	Bobby Roth	Alicia Kirk, David Amann	December13,2007	15.15
129	11	"4G"	Eric Close	Amanda Segel Marks	January10,2008	13.83
130	12	"Article 32"	Martha Mitchell	Byron Balasco	January17,2008	13.29
131	13	"Hard Reset"	John Polson	Jan Nash, David Amann, Greg Walker and Jose Molina	April3,2008	15.20
132	14	"A Bend In the Road"	Jonathan Kaplan	Diego Gutierrez, Amanda Segel Marks	April10,2008	14.49
133	15	"Deja Vu"	Chris Long	Byron Balasco, David Amann	April24,2008	13.47
134	16	"A Dollar and a Dream"	Martha Mitchell	David H. Goodman, David Mongan	May1,2008	12.83
135	17	"Driven"	John Polson	Byron Balasco, Gwendolyn M. Parker	May8,2008	14.67
