Software	Calculations	Macros	Loci	Animations	Multilingual	Proofs
Cabri II Plus	Yes	Yes	Yes	Yes	Yes	Yes (on relations)
CaR	Yes	Yes	Yes	Yes	Yes	No
CaRMetal	Yes (recursive)	Yes	Yes	Yes (multiple)	Yes	Yes (probabilistic)
Cinderella	Yes	Yes	Yes	Yes	Yes	Probabilistic
GCLC	Yes	Yes	Yes	Yes	No	Yes
GeoGebra	Yes	Yes	Yes	Yes	Yes (55 languages)	No
Geometria	Yes	No	Yes	Yes	Yes	No
Geometrix	Yes	No	Yes	Yes	No	Yes
Geometry Expressions	Yes	No	Yes	Yes	Yes	No
GeoNext	Yes	No	No	Yes	Yes	No
Géoplan-Géospace	Yes	Yes	Yes	Yes	Yes	Yes
GeoProof	Yes	No	No	No	No	Yes
GEUP	Yes	Yes	Yes	Yes	Yes	No
iGeom	Yes	Yes	Yes	No	Yes	Probabilist
Kig	Yes	Yes	Yes	No	Yes	No
Live Geometry	Yes	Yes	Yes	Yes	No	No
Sketchpad	Yes	Yes	Yes	Yes	Yes	No
Tabula	Yes	Yes	Yes	Yes	No	No
Tabulae	Yes	Yes	Yes	No	Yes	No
Cabri 3D	Yes	No	No	Yes	Yes	No
Archimedes Geo3D	Yes	Yes	Yes	Yes	No (Eng De Fr)	No
GEUP 3D	Yes	No	Yes	No	Yes	No
Software	Calculations	Macros	Loci	Animations	Multilingual	Proofs
