Week	Date	Opponent	Result	Score	Record
1	August 28, 1949	Baltimore Colts	W	31-17	1-0
2	September 4, 1949	Chicago Hornets	W	42-7	2-0
3	September 18, 1949	Los Angeles Dons	W	42-14	3-0
4	September 25, 1949	at Buffalo Bills	L	28-17	3-1
5	September 30, 1949	Chicago Hornets	W	42-24	4-1
6	October 9, 1949	Cleveland Browns	W	56-28	5-1
7	October 16, 1949	Buffalo Bills	W	51-7	6-1
8	October 23, 1949	at New York Yankees	L	24-3	6-2
9	October 30, 1949	at Cleveland Browns	L	30-28	6-3
10	November 6, 1949	at Baltimore Colts	W	28-10	7-3
11	November 13, 1949	at Los Angeles Dons	W	41-24	8-3
12	November 27, 1949	New York Yankees	W	35-14	9-3
