Story #	Title	Doctor	Narrator	Format	release date
016	The Daleks	1 First Doctor	Graham, David David Graham	7"	1966-04-01 April 1966
078	Genesis of the Daleks	4 Fourth Doctor	Baker, Tom Tom Baker	LP	1979-10-01 October 1979
034	The Macra Terror	2 Second Doctor	Baker, Colin Colin Baker	2- Cassette	1992-07-06 6 July 1992
036	The Evil of the Daleks	2 Second Doctor	Baker, Tom Tom Baker	2-Cassette	1992-07-06 6 July 1992
037	The Tomb of the Cybermen	2 Second Doctor	Pertwee, Jon Jon Pertwee	2-cassette	1993-07-07 7 June 1993
030	The Power of the Daleks	2 Second Doctor	Baker, Tom Tom Baker	2-cassette	1993-08-02 2 August 1993
042	Fury from the Deep	2 Second Doctor	Baker, Tom Tom Baker	2-cassette	1993-10-04 4 October 1993
022	The Massacre of St Bartholomew's Eve	1 First Doctor	Purves, Peter Peter Purves	2-cassette 2-CD	1999-08-02 2 August 1999
041	The Web of Fear	2 Second Doctor	Hines, Frazer Frazer Hines	3-CD	2000-03-06 6 March 2000
018	Galaxy 4	1 First Doctor	Purves, Peter Peter Purves	2-CD	2000-06-05 5 June 2000
031	The Highlanders	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2000-08-07 7 August 2000
034	The Macra Terror	2 Second Doctor	Baker, Colin Colin Baker	2-CD	2000-08-07 7 August 2000
020	The Myth Makers	1 First Doctor	Purves, Peter Peter Purves	2-CD	2001-01-08 8 January 2001
033	The Moonbase	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2001-04-02 2 April 2001
024	The Celestial Toymaker	1 First Doctor	Purves, Peter Peter Purves	2-CD	2001-04-02 2 April 2001
038	The Abominable Snowmen	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2001-07-02 2 July 2001
019 021	The Daleks' Master Plan	1 First Doctor	Purves, Peter Peter Purves	5-CD	2001-10-22 22 October 2001
035	The Faceless Ones	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2002-02-04 4 February 2002
028	The Smugglers	1 First Doctor	Wills, Anneke Anneke Wills	2-CD	2002-05-06 6 May 2002
040	The Enemy of the World	2 Second Doctor	Hines, Frazer Frazer Hines	2-CD	2002-08-05 5 August 2002
026	The Savages	1 First Doctor	Purves, Peter Peter Purves	2-CD	2002-11-11 11 November 2002
