Driver	Constructor	Laps	Time/Retired	Grid
Jacques Villeneuve	Williams - Renault	67	1:31:27.843	2
Jean Alesi	Benetton - Renault	67	+11.770	10
Heinz-Harald Frentzen	Williams - Renault	67	+13.480	3
Gerhard Berger	Benetton - Renault	67	+16.416	7
Pedro Diniz	Arrows - Yamaha	67	+43.147	15
Olivier Panis	Prost - Mugen-Honda	67	+43.750	11
Johnny Herbert	Sauber - Petronas	67	+44.354	16
Damon Hill	Arrows - Yamaha	67	+44.777	13
Gianni Morbidelli	Sauber - Petronas	66	+1 Lap	19
Mika Salo	Tyrrell - Ford	66	+1 Lap	20
Jos Verstappen	Tyrrell - Ford	50	Spun off	21
Mika Häkkinen	McLaren - Mercedes	43	Engine	1
Rubens Barrichello	Stewart - Ford	43	Gearbox	9
David Coulthard	McLaren - Mercedes	42	Engine	6
Jan Magnussen	Stewart - Ford	40	Halfshaft	12
Eddie Irvine	Ferrari	22	Engine	14
Shinji Nakano	Prost - Mugen-Honda	16	Engine	17
Michael Schumacher	Ferrari	2	Suspension	5
Tarso Marques	Minardi - Hart	1	Engine	18
Ukyo Katayama	Minardi - Hart	1	Collision	22
Giancarlo Fisichella	Jordan - Peugeot	0	Collision	4
Ralf Schumacher	Jordan - Peugeot	0	Collision	8
