Year	Title	Length	Format	Color	Sound
1978	Hot Water	12min.	super-8	b&w	sound
1979	Cool Hands, Warm Heart	16min.	16mm	b&w	silent
1979	Scar Tissue	6min.	16mm	b&w	silent
1980	I Suggest Mine	6min.	16mm	b&w and color	silent
1981	Gently Down the Stream	14min.	16mm	b&w	silent
1982	But No One	9min.	16mm	b&w	silent
1985	The Ties That Bind	55min.	16mm	b&w	sound
1987	Damned If You Don't	42min.	16mm	b&w	sound
1990	Sink or Swim	48min.	16mm	b&w	sound
1991	First Comes Love	22min.	16mm	b&w	sound
1993	Rules of the Road	31min.	16mm	color	sound
1994	Lesbian Avengers Eat Fire	60min.	video	color	sound
1996	Hide and Seek	65min.	16mm	b&w	sound
1999	Being Cecilia	3min.	video	color	sound
2002	The Odds of Recovery	65min.	16mm	color	sound
2004	The Head of a Pin	21min.	video	color	sound
2005	Seeing Red	27min.	video	color	sound
2008	From the Ground Up	54min.	video	color	sound
2013	Gut Renovation	81min.	video	color	sound
