Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	AD Almería	38	47+9	21	5	12	62	44	+18
2	CD Málaga	38	47+9	19	9	10	47	27	+20
3	Real Betis	38	46+8	18	10	10	58	35	+23
4	Real Valladolid	38	46+8	20	6	12	47	32	+15
5	Elche CF	38	45+7	16	13	9	50	31	+19
6	Granada CF	38	44+6	16	12	10	46	34	+12
7	Castilla CF	38	42+4	18	6	14	55	45	+10
8	Cádiz CF	38	41+3	15	11	12	52	47	+5
9	Deportivo Alavés	38	40+2	15	10	13	45	31	+14
10	Getafe Deportivo	38	40+2	17	6	15	57	56	+1
11	CD Castellón	38	38	12	14	12	48	43	+5
12	CE Sabadell FC	38	37-1	12	13	13	50	49	+1
13	CA Osasuna	38	37-1	15	7	16	51	51	0
14	Real Murcia	38	35-3	12	11	15	35	52	-17
15	Deportivo de La Coruña	38	35-3	13	9	16	43	45	-2
16	Algeciras CF	38	34-4	13	8	17	40	53	-13
17	Real Jaén	38	34-4	12	10	16	41	55	-14
18	Terrassa FC	38	29-9	9	11	18	34	51	-17
19	Barakaldo CF	38	28-10	10	8	20	31	53	-22
20	Racing de Ferrol	38	15-23	4	7	27	22	80	-58
