Outcome	Year	Championship	Surface	Opponent	Score
Runner-up	1990	Monte Carlo	Clay	Andrei Chesnokov	5–7, 3–6, 3–6
Winner	1990	Rome	Clay	Andrei Chesnokov	6–1, 6–3, 6–1
Winner	1992	Monte Carlo	Clay	Aaron Krickstein	6–3, 6–1, 6–3
Winner	1995	Monte Carlo	Clay	Boris Becker	4–6, 5–7, 6–1, 7–6 (8–6) , 6–0
Winner	1995	Rome	Clay	Sergi Bruguera	3–6, 7–6 (7–5) , 6–2, 6–3
Winner	1995	Essen	Carpet	MaliVai Washington	7–6, 2–6, 6–3, 6–4
Winner	1996	Monte Carlo	Clay	Albert Costa	6–3, 5–7, 4–6, 6–3, 6–2
Winner	1996	Rome	Clay	Richard Krajicek	6–2, 6–4, 3–6, 6–3
Winner	1997	Key Biscayne	Hard	Sergi Bruguera	7–6 (8–6) , 6–3, 6–1
Runner-up	1997	Cincinnati	Hard	Pete Sampras	3–6, 4–6
