Ship's name	Date entered service	Date withdrawn	Tonnage	Type of Ship
Oranje Nassau	27 August 1945	July 1954	3053	Twin Screw Steamer
Mecklenburg	21 November 1945	25 October 1959	2907	Twin Screw Steamer
Koningin Emma	5 March 1948	December 1968	4353	Twin Screw Motorship
Prinses Beatrix	31 May 1948	September 1968	4353	Twin Screw Motorship
Koningin Wilhelmina	7 February 1960	1 July 1978	6228	Twin Screw Motorship
Koningin Juliana	17 October 1968	8 April 1984	6682	Twin Screw Ro-Ro Motorship
Prinses Beatrix	29 June 1978	May 1986	9356	Twin Screw Ro-Ro Motorship
Prins Oberon	11 February 1983	11 March 1983	7993	Twin Screw Ro-Ro Motorship
Zeeland	1 April 1984	25 March 1986	6801	Twin Screw Ro-Ro Motorship
Armorique	25 March 1986	16 April 1986	5731	Twin Screw Ro-Ro Motorship
Koningin Beatrix	16 April 1986	2 June 1997	31189	Twin Screw Ro-Ro Motorship
Duchess Anne	January 1989	February 1989	9796	Twin Screw Ro-Ro Motorship
