Round	Pick #	Overall	Name	Position	College
2	13	39	Greg Marx	Defensive End	Notre Dame
4	16	94	Tom Geredine	Wide Receiver	Northeast Missouri State
6	12	142	Nick Bebout	Offensive Tackle	Wyoming
7	14	170	George Campbell	Defensive Back	Iowa State
8	13	195	Tom Reed	Guard	Arkansas
9	12	220	Russ Ingram	Center	Texas Tech
10	14	248	Nick Mike-Mayer	Kicker	Temple
11	13	273	Byron Buelow	Defensive Back	Wisconsin–La Crosse
12	12	298	Mike Samples	Linebacker	Drake
13	14	326	Chris Stecher	Offensive Tackle	Claremont McKenna
14	13	351	John Madeya	Quarterback	Louisville
15	12	376	Thomas Gage	Defensive Back	Lamar
16	14	404	Rufus Ferguson	Running Back	Wisconsin
17	12	428	Jim Hedge	Wide Receiver	Arkansas
