Overall Pick #	AFL Team	Player	Position	College
2	Cincinnati Bengals	Bob Johnson	Center	Tennessee
4	San Diego Chargers	Russ Washington	Offensive Tackle	Missouri
6	New England Patriots	Dennis Byrd	Defensive Tackle	North Carolina State
8	Miami Dolphins	Larry Csonka	Running Back	Syracuse
9	Buffalo Bills	Haven Moses	Offensive End	San Diego St.
17	New York Jets	Lee White	Running Back	Weber State
18	San Diego Chargers	Jim Hill	Defensive Back	Texas
19	Kansas City Chiefs	Mo Moorman	Offensive Guard	Texas A&M
22	Kansas City Chiefs	George Daney	Offensive Guard	UTEP
25	Oakland Raiders	Eldridge Dickey	Quarterback	Tennessee State
