Date	Tournament	Surface	Partnering	Opponents in the final	Score
May 1, 1995	Seoul , South Korea	Hard	Sébastien Lareau	Joshua Eagle Andrew Florent	6–3, 6–2
July 24, 1995	Washington D.C. , United States	Hard	Olivier Delaître	Petr Korda Cyril Suk	4–6, 6–2, 6–2
September 18, 1995	Bucharest , Romania	Clay	Mark Keil	Cyril Suk Daniel Vacek	6–4, 7–6
July 15, 1996	Bastad , Sweden	Clay	David Ekerot	Joshua Eagle Peter Nyborg	6–4, 3–6, 6–4
September 16, 1996	Bucharest, Romania	Clay	David Ekerot	David Adams Menno Oosting	7–6, 7–6
November 16, 1998	Moscow , Russia	Carpet	Jared Palmer	Yevgeny Kafelnikov Daniel Vacek	6–4, 6–7, 6–2
January 18, 1999	Auckland , New Zealand	Hard	Daniel Vacek	Jiří Novák David Rikl	7–5, 7–5
February 15, 1999	St. Petersburg , Russia	Carpet	Daniel Vacek	Menno Oosting Andrei Pavel	3–6, 6–3, 7–5
April 19, 1999	Tokyo , Japan	Hard	Daniel Vacek	Wayne Black Brian MacPhie	4–3, RET.
July 12, 1999	Bastad, Sweden	Clay	David Adams	Nicklas Kulti Mikael Tillström	7–6 (8-6) , 6–4
September 20, 1999	Bournemouth , England	Clay	David Adams	Michael Kohlmann Nicklas Kulti	6–3, 6–7 (5-7) , 7–6 (7-5)
October 4, 1999	Toulouse , France	Hard	Olivier Delaître	David Adams John-Laffnie de Jager	6–3, 7–6 (7-2) , 6–4
November 20, 2000	Brighton , England	Hard	Michael Hill	Paul Goldstein Jim Thomas	6–3, 7–5
April 16, 2001	Casablanca , Morocco	Clay	Michael Hill	Pablo Albano David Macpherson	7–6 (7-2) , 6–3
