Series #	Season #	Title	Directed by	Original air date	Prod. code
14	1	"Episode 14"	Rich Correll , Virgil L. Fabian & Ken Whittingham	July15,2000	214
16	3	"Episode 16"	Virgil L. Fabian & Ken Whittingham	August12,2000	216
17	4	"Episode 17"	Virgil L. Fabian & Ken Whittingham	August26,2000	217
18	5	"Episode 18"	Tim O'Donnell, Rich Correll & Virgil L. Fabian	September9,2000	218
19	6	"Episode 19"	Rich Correll & Virgil L. Fabian	September23,2000	219
20	7	"Episode 20"	Rich Correll, Virgil L. Fabian & Ken Whittingham	October7,2000	220
21	8	"Episode 21"	Rich Correll, Virgil L. Fabian & Tim O'Donnell	October21,2000	221
22	9	"Episode 22"	Rich Correll, Virgil L. Fabian & Ken Whittingham	October28,2000	222
23	10	"Episode 23"	Rich Correll, Virgil L. Fabian & Ken Whittingham	November18,2000	223
24	11	"Episode 24"	Rich Correll, Virgil L. Fabian & Tim O'Donnell	December9,2000	224
25	12	"Episode 25"	Rich Correll & Virgil L. Fabian	December23,2000	225
26	13	"Episode 26"	Virgil L. Fabian & Ken Whittingham	January27,2001	226
27	14	"Episode 27"	Rich Correll & Virgil L. Fabian	February17,2001	227
