Round	Player	Position	Nationality	College/Junior/Club Team
1	Milan Michalek	Left Wing	Czechoslovakia	Ceske Budejovice HC (Czech)
1	Steve Bernier	Right Wing	Canada	Moncton Wildcats (QMJHL)
2	Josh Hennessy	Center	United States	Quebec Remparts (QMJHL)
2	Matt Carle	Defense	United States	River City Lancers (USHL)
5	Patrick Ehelechner	Goaltender	Germany	Hannover Scorpions (DEL)
7	Jonathan Tremblay	Right Wing	Canada	Acadie-Bathurst Titan (QMJHL)
7	Joe Pavelski	Center	United States	Waterloo Black Hawks (USHL)
7	Kai Hospelt	Forward	Germany	Cologne Sharks (DEL)
8	Alexander Hult	Center	Sweden	Oskarshamn IK (Swe-1)
9	Brian O'Hanley	Defense	United States	Boston College High School (USHS)
9	Carter Lee	Forward	United States	Canterbury (USHS)
