Stage	Date	Route	Stage Winner	GC Leader
1	6 September	Lisbon - Estoril	Lars Michaelsen	Lars Michaelsen
2	7 September	Évora - Vilamoura	Marcel Wüst	Lars Michaelsen
3	8 September	Loulé - Huelva	Marcel Wüst	Lars Michaelsen
4	9 September	Huelva - Jerez de la Frontera	Eleuterio Anguita	Fabrizio Guidi
5	10 September	Jerez de la Frontera - Málaga	Marcel Wüst	Lars Michaelsen
6	11 September	Málaga - Granada	Laurent Jalabert	Laurent Jalabert
7	12 September	Guadix - Sierra Nevada	Yvon Ledanois	Laurent Dufaux
8	13 September	Granada - Córdoba	Bart Voskamp	Laurent Dufaux
9	14 September	Córdoba	Melchor Mauri	Alex Zülle
10	15 September	Córdoba - Almendralejo	Mariano Piccoli	Alex Zülle
11	16 September	Almendralejo - Plasencia	Ján Svorada	Alex Zülle
12	17 September	León - Alto del Morredero	Roberto Heras	Alex Zülle
13	18 September	Ponferrada - Estación Valgrande-Pajares	Pavel Tonkov	Alex Zülle
14	19 September	Oviedo - Alto del Naranco	José Vicente García Acosta	Alex Zülle
15	20 September	Oviedo - Lagos de Covadonga	Pavel Tonkov	Alex Zülle
16	21 September	Cangas de Onís - Santander	Ján Svorada	Alex Zülle
17	22 September	Santander - Burgos	Ján Svorada	Alex Zülle
18	23 September	Burgos - Valladolid	Leon van Bon	Alex Zülle
19	24 September	Valladolid - Los Ángeles de San Rafael	José María Jiménez	Alex Zülle
20	25 September	Los Ángeles de San Rafael - Ávila	Laurent Jalabert	Alex Zülle
21	26 September	Alcobendas	Alex Zülle	Alex Zülle
22	27 September	Madrid	Max Van Heeswijk	Alex Zülle
