Title	Writer	Format	Company	release date
The Eleven Day Empire	Miles, Lawrence Lawrence Miles	CD	BBV	2001-10-01 October 2001
The Shadow Play	Miles, Lawrence Lawrence Miles	CD	BBV	2001-10-01 October 2001
Sabbath Dei	Miles, Lawrence Lawrence Miles	CD	BBV	2003-02-01 February 2003
The Year of the Cat	Miles, Lawrence Lawrence Miles	CD	BBV	2003-04-01 April 2003
Movers	Miles, Lawrence Lawrence Miles	CD	BBV	2003-12-01 December 2003
A Labyrinth of Histories	Miles, Lawrence Lawrence Miles	CD	BBV	2004-02-01 February 2004
Coming to Dust	Miles, Lawrence Lawrence Miles	CD	Magic Bullet Productions	2005-07-01 July 2005
The Ship of a Billion Years	Miles, Lawrence Lawrence Miles	CD	Magic Bullet Productions	2006-04-01 April 2006
Body Politic	Miles, Lawrence Lawrence Miles	CD	Magic Bullet Productions	2008-05-01 May 2008
Words from Nine Divinities	Miles, Lawrence Lawrence Miles	CD	Magic Bullet Productions	2008-11-24 24 November 2008
Ozymandias	Miles, Lawrence Lawrence Miles	CD	Magic Bullet Productions	2009-06-08 8 June 2009
The Judgment of Sutekh	Miles, Lawrence Lawrence Miles	CD	Magic Bullet Productions	2009-11-23 23 November 2009
