Game	Date	Opponent	Score	Location	Record
17	December 2	@ Phoenix Suns	116–108	Arizona Veterans Memorial Coliseum	14–3
18	December 3	@ San Diego Clippers	127–110	San Diego Sports Arena	15–3
19	December 5	@ Los Angeles Lakers	114–104	The Forum	16–3
20	December 8	Atlanta Hawks	132–85	Philadelphia Spectrum	17–3
21	December 10	@ Boston Celtics	97–123	Boston Garden	17–4
22	December 11	Detroit Pistons	128–111	Philadelphia Spectrum	18–4
23	December 15	Cleveland Cavaliers	99–93	Philadelphia Spectrum	19–4
24	December 17	New York Knicks	109–95	Philadelphia Spectrum	20–4
25	December 18	@ Washington Bullets	97–100	Capital Centre	20–5
26	December 21	Boston Celtics	122–105	Philadelphia Spectrum	21–5
27	December 26	@ San Antonio Spurs	124–122	HemisFair Arena	22–5
28	December 28	@ Houston Rockets	104–93	The Summit	23–5
29	December 29	@ Dallas Mavericks	126–116	Reunion Arena	24–5
