Round	Pick	Overall	Name	Position	College
1	1	1	Ernie Davis	RB	Syracuse
2	1	15	Joe Hernandez	WR	Arizona
3	1	29	Bob Mitinger	LB	Penn State
4	1	43	Billy Neighbors	G	Alabama
7	1	85	Bert Coan	HB	Kansas
8	1	99	Ron Hatcher	FB	Michigan State
9	1	113	Dave Viti	E	Boston University [k ]
10	1	127	John Childress	G	Arkansas
11	1	141	Carl Palazzo	OT	Adams State
12	1	155	Terry Terrebonne	HB	Tulane
13	1	169	Bill Whisler	E	Iowa
14	1	183	Jim Costen	HB	South Carolina
15	1	197	Len Velia	OT	Georgia
16	1	211	Tommy Brooker	E	Alabama
17	1	225	Allen Miller	LB	Ohio
18	1	239	Carl Charon	DB	Michigan State
19	1	253	Claude Crabb	DB	Colorado
20	1	267	Ed Trancygier	QB	Florida State
