GE-DL works no.	Year built	Built for	Original no.	New owner	New no.
35261	1974-75	Iscor	1D	SAR	34-501
35262	1974-75	Iscor	2D	SAR	34-502
35263	1974-75	Iscor	3D	SAR	34-503
35264	1974-75	Iscor	4D	SAR	34-504
35265	1974-75	Iscor	5D	SAR	34-523
35266	1974-75	Iscor	6D	SAR	34-506
35267	1974-75	Iscor	7D	SAR	34-507
35268	1974-75	Iscor	8D	SAR	34-508
35269	1974-75	Iscor	9D	SAR	34-509
35270	1974-75	Iscor	10D	SAR	34-510
35271	1974-75	Iscor	11D	SAR	34-511
35272	1974-75	Iscor	12D	SAR	34-512
35273	1974-75	Iscor	13D	SAR	34-513
35274	1974-75	Iscor	14D	SAR	34-514
35275	1974-75	Iscor	15D	SAR	34-515
35276	1974-75	Iscor	16D	SAR	34-516
35277	1974-75	Iscor	17D	SAR	34-517
35278	1974-75	Iscor	18D	SAR	34-518
35279	1974-75	Iscor	19D	SAR	34-519
35280	1974-75	Iscor	20D	SAR	34-520
35281	1975	Iscor	G01	Kumba	01
35282	1975	Iscor	G02	Kumba	02
40400	1976-77	Iscor	21D	SAR	34-521
40401	1976-77	Iscor	22D	SAR	34-522
40402	1976-77	Iscor	23D	SAR	34-505
40403	1976-77	Iscor	24D	SAR	34-524
40404	1976-77	Iscor	25D	SAR	34-525
40405	1976-77	Iscor	26D	SAR	34-526
40406	1976-77	Iscor	27D	SAR	34-527
40407	1976-77	Iscor	28D	SAR	34-528
40408	1976-77	Iscor	29D	SAR	34-529
40409	1976-77	Iscor	30D	SAR	34-530
40410	1976-77	Iscor	31D	SAR	34-531
40411	1976-77	Iscor	32D	SAR	34-532
40412	1976-77	Iscor	33D	SAR	34-533
40413	1976-77	Iscor	34D	SAR	34-534
40414	1976-77	Iscor	35D	SAR	34-535
40415	1976-77	Iscor	36D	SAR	34-536
40416	1976-77	Iscor	37D	SAR	34-537
40417	1976-77	Iscor	38D	SAR	34-538
40418	1976-77	Iscor	39D	SAR	34-539
40419	1977	Iscor	40D	Kumba	05
40570	1977	Iscor	G03	Kumba	03
40571	1977	Iscor	G04	Kumba	04
40578	1977	Douglas	D5	Sheltam	5/2602
