Place	Player	Country	Score	To par
T1	Rich Beem	United States	72-66=138	–6
T1	Mark Calcavecchia	United States	70-68=138	–6
T1	Fred Funk	United States	68-70=138	–6
T1	Retief Goosen	South Africa	69-69=138	–6
T1	Justin Leonard	United States	72-66=138	–6
T6	Pierre Fulke	Sweden	72-68=140	–4
T6	Tiger Woods	United States	71-69=140	–4
T8	Jim Furyk	United States	68-73=141	–3
T8	Charles Howell III	United States	72-69=141	–3
T8	Bernhard Langer	Germany	69-72=141	–3
T8	Kenny Perry	United States	73-68=141	–3
T8	Chris Riley	United States	71-70=141	–3
