Team	Location	Venue	Capacity	Position in 2004
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	1
BATE	Borisov	City Stadium	5,500	2
Shakhtyor	Soligorsk	Stroitel	5,000	3
Torpedo	Zhodino	Torpedo	3,020	4
Gomel	Gomel	Central	11,800	5
Neman	Grodno	Neman	6,300	7
Dinamo Brest	Brest	OSK Brestskiy	10,080	8
Dnepr-Transmash	Mogilev	Spartak	11,200	9
Naftan	Novopolotsk	Atlant	6,500	10
Darida	Minsk Raion	Darida	6,000	11
Slavia	Mozyr	Yunost	5,500	12
Zvezda-BGU	Minsk	Traktor	17,600	13
MTZ-RIPO	Minsk	Traktor	17,600	14
Lokomotiv	Minsk	Lokomotiv	800	First league , 1
