Goal	Date	Score	Result	Competition
1	10 October 2006	2 – 0	2–1	Friendly
2	14 October 2007	1 – 0	1–0	Friendly
3	17 November 2007	1 – 0	1–0	Friendly
4	7 June 2008	1 – 0	3–1	Friendly
5	11 October 2008	1 – 0	3–1	World Cup 2010 Qualifier
6	22 January 2009	2 – 0	2–1	UNCAF Nations Cup 2009
7	24 January 2009	4 – 1	4–1	UNCAF Nations Cup 2009
8	11 July 2009	1 – 0	4–0	2009 CONCACAF Gold Cup
9	18 July 2009	1 – 0	1–0	2009 CONCACAF Gold Cup
10	9 October 2010	1 – 1	1–1	Friendly
11	2011-01-13	1 – 0	2–1	2011 Copa Centroamericana
12	10 June 2011	6 – 1	7–1	2011 CONCACAF Gold Cup
