C/W 15+	Oblast\Age	15 to 17	18 to 19	20 to 24	25 to 29	30 to 34	35 to 39	40 to 44	45 to 49	50 to 54	55 to 59	60 to 64	65 to 69
1,395	Gorod Moscow	20	43	330	856	1,203	1,451	1,607	1,612	1,571	1,551	1,527	1,653
1,650	Astrakhan	7	81	414	992	1,485	1,726	1,874	1,934	1,999	1,976	2,159	2,374
1,723	Bashkortostan	6	51	376	994	1,477	1,760	1,924	2,030	2,097	2,174	2,475	2,734
1,718	Mari El	23	41	305	980	1,378	1,656	1,774	1,967	1,975	1,909	2,309	2,588
1,757	Mordovia	20	114	492	943	1,353	1,662	1,780	1,959	1,988	2,137	2,466	2,714
1,690	Tatarstan	7	50	353	983	1,456	1,756	1,889	1,947	2,030	2,109	2,403	2,588
1,565	Udmurtstan	45	76	414	905	1,369	1,636	1,794	1,873	1,831	1,843	1,970	2,248
2,122	Chuvashia	10	61	437	1,146	1,585	1,910	2,053	2,242	2,415	2,746	3,120	3,387
1,829	Kirov	4	43	428	1,035	1,554	1,877	1,931	1,998	1,952	1,969	2,157	2,468
2,033	Nizhegorod	0	89	424	1,033	1,438	1,625	1,861	1,894	1,930	2,216	2,620	3,014
1,864	Orenburg	15	75	474	1,049	1,557	1,844	2,011	2,127	2,132	2,302	2,626	2,877
1,983	Penza	6	31	450	1,108	1,596	1,792	1,995	2,171	2,359	2,596	3,064	3,348
1,795	Perm	28	122	481	1,065	1,526	1,776	1,926	2,011	2,007	2,129	2,161	2,314
1,586	Samara	12	45	336	900	1,331	1,606	1,827	1,877	1,928	1,992	2,204	2,412
1,707	Saratov	0	39	403	1,016	1,440	1,729	1,860	1,959	1,953	2,009	2,340	2,534
1,748	Ulyanovsk	0	35	378	970	1,403	1,660	1,827	1,939	2,021	2,099	2,498	2,751
2,195	Kurgan	23	77	499	1,259	1,703	1,879	2,188	2,243	2,548	2,463	2,859	3,106
1,664	Sverdlovsk	22	103	420	960	1,384	1,652	1,825	1,921	1,934	1,896	2,030	2,141
1,740	Tyumen	7	82	460	1,052	1,530	1,854	1,997	2,133	2,208	2,342	2,981	3,376
1,511	Yugra	7	77	454	978	1,440	1,761	1,905	1,990	2,064	2,023	2,388	2,626
1,534	Yamal	3	102	477	1,016	1,442	1,758	1,914	2,021	2,040	2,061	2,680	2,797
1,672	Chelyabinsk	15	79	408	942	1,363	1,690	1,880	1,947	1,952	1,903	2,102	2,292
1,804	Krasnoyarsk	10	89	437	1,070	1,479	1,729	1,938	2,099	2,018	2,342	2,333	2,248
1,760	Kemerovo	39	84	506	989	1,366	1,562	1,821	1,924	1,899	1,818	2,122	2,155
1,918	Omsk	14	50	393	973	1,478	1,826	2,133	2,247	2,236	2,451	2,851	3,189
