Date	Venue	Score	Comp	Report
1998-02-08	Estadio Defensores del Chaco Asunción, Paraguay	4 - 0	F	450
1998-03-14	Qualcomm Stadium San Diego , United States	2 - 2	F	451
1998-03-18	Estadio Olímpico Universitario Mexico City, Mexico	1 - 1	F	452
1998-03-28	Yale Bowl New Haven , United States	1 - 1	F	453
1998-04-22	Stadio Ennio Tardini Parma, Italy	3 - 1	F	454
1998-05-17	Olympic Stadium Tokyo, Japan	1 - 1	Kirin Cup	455
1998-05-21	Kobe Universiade Memorial Stadium Kobe, Japan	1 - 0	Kirin Cup	456
1998-06-01	Philips Stadion Eindhoven , Netherlands	5 - 1	F	457
1998-06-03	Steaua Stadium Bucharest, Romania	3 - 2	F	458
1998-06-06	King Baudouin Stadium Brussels, Belgium	1 - 0	F	459
1998-06-12	Stade de la Mosson Montpellier , France	0 - 0	World Cup	Report
1998-06-19	Stade Geoffroy-Guichard Saint-Étienne , France	0 - 0	World Cup	Report
1998-06-24	Stade de Toulouse Toulouse , France	1 - 3	World Cup	Report
1998-06-28	Stade Félix Bollaert Lens , France	0 - 0 ( 1 - 0 A.E.T. )	World Cup	Report
