2002/ 03	2003/ 04	2004/ 05	2005/ 06	2006/ 07	2007/ 08	2008/ 09	2009/ 10	2010/ 11	2011/ 12	2012/ 13
UR	UR	UR	93	UR He was an amateur.	UR	UR	60	UR	UR	UR
Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Non-Ranking	Non-Ranking	Non-Ranking	Non-Ranking	WR
Not Held	Not Held	Not Held	Not Held	Not Held	WR	LQ	LQ	1R	WR	1R
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	A
LQ	A	LQ	LQ	A	A	LQ	LQ	A	A	A
Non Held	Non Held	Non Held	Non Held	Non Held	Non Held	Non Held	Non Held	A	A	A
LQ	A	LQ	QR	A	A	LQ	LQ	A	A	A
LQ	A	1R	LQ	A	A	LQ	LQ	A	2R	A
Non Held	Non Held	Non Held	Non Held	Non Held	Non Held	Non Held	Non Held	A	A	DNQ
Not Held	Not Held	WR	QR	WR	WR	LQ	LQ	WR	WR	A
Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments
LQ	LQ	A	A	A	A	LQ	A	A	A	A
Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments	Former Ranking tournaments
LQ	A	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	MR
LQ	A	LQ	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held
LQ	A	LQ	NH	NR	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held
LQ	A	LQ	LQ	A	NR	Not Held	Not Held	Not Held	Not Held	Not Held
Not Held	Not Held	Not Held	NR	A	A	LQ	Not Held	Not Held	Not Held	Not Held
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	LQ	Not Held	Not Held	Not Held	Not Held
Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments	Former non-ranking tournaments
Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	RR	RR	A	A	Ranking
