Round	Overall	Player	Position	School/Club Team
1	27	Charles White	Running Back	USC
2	54	Cleveland Crosby	Defensive End	Wisconsin
3	72	Cliff Odom	Linebacker	University of Texas at Arlington
4	99	Ron Crews	Nose Tackle	UNLV
4	109	Paul McDonald	Quarterback	USC
5	116	Elvis Franks	Defensive End	Morgan State
8	209	Jeff Copeland	Linebacker	Texas Tech
9	236	Roy De Walt	Running Back	University of Texas at Arlington
10	263	Kevin Fidel	Center	San Diego State
11	294	Roland Sales	Running Back	Arkansas
12	321	Marcus Jackson	Defensive End	Purdue
