Player	Club	League	FA Cup	FA Trophy	League Cup	Total
Paul Cavell	Redbridge Forest	29	1	2	1	33
Terry Robbins	Welling United	29	0	1	0	30
Gary Jones	Boston United	27	2	1	1	31
Roy McDonough	Colchester United	26	1	2	0	29
Simon Read	Farnborough Town	21	9	3	2	35
Karl Thomas	Witton Albion	21	3	4	1	29
Steve McGavin	Colchester United	20	2	4	2	28
David Webley	Merthyr Tydfil	20	0	0	0	20
Gary Abbott	Welling United	19	5	1	0	25
Ken McKenna	Altrincham	19	0	0	1	20
Malcolm O'Connor	Northwich Victoria	19	0	1	2	22
Paul Randall	Bath City	19	3	1	2	25
Jon Graham	Kettering Town	18	3	0	0	21
Keith Scott	Wycombe Wanderers	18	0	1	1	20
Gary Bennett	Colchester United	16	0	2	0	18
Richard Hill	Kettering Town	16	1	2	0	19
Mickey Spencer	Yeovil Town	16	1	4	3	24
Ceri Williams	Merthyr Tydfil	16	1	1	1	19
