Model number	Frequency	L2 cache	Multi 1	Voltage	Socket	Release date	Order part number
Turion X2 Ultra ZM-80	2100MHz	2 x 1 MB	10.5x	0.75-1.2	g Socket S1 2	June 4, 2008	TMZM80DAM23GG
Turion X2 Ultra ZM-82	2200MHz	2 x 1 MB	11x	0.75-1.2	Socket S1g2	June 4, 2008	TMZM82DAM23GG
Turion X2 Ultra ZM-84	2300MHz	2 x 1 MB	11.5x	0.75-1.2	Socket S1g2	Q3 2008	TMZM84DAM23GG
Turion X2 Ultra ZM-85	2300MHz	2 x 1 MB	11.5x	0.75-1.2	Socket S1g2	Q3 2008	TMZM85DAM23GG
Turion X2 Ultra ZM-86	2400MHz	2 x 1 MB	12x	0.75-1.2	Socket S1g2	June 4, 2008	TMZM86DAM23GG
Turion X2 Ultra ZM-87	2400MHz	2 x 1 MB	12x	0.75-1.2	Socket S1g2	Q3 2008	TMZM87DAM23GG
Turion X2 Ultra ZM-88	2500MHz	2 x 1 MB	12.5x	0.75-1.2	Socket S1g2	Q3 2008	TMZM88DAM23GG
Turion X2 RM-70	2000MHz	2 x 512 KB	10x	0.75-1.2	Socket S1g2	June 4, 2008	TMRM70DAM22GG
Turion X2 RM-72	2100MHz	2 x 512 KB	10.5x	0.75-1.2	Socket S1g2	Q3 2008	TMRM72DAM22GG
Turion X2 RM-74	2200MHz	2 x 512 KB	11x	0.75-1.2	Socket S1g2	Q4 2008	TMRM74DAM22GG
Turion X2 RM-75	2200MHz	2 x 512 KB	11x	0.75-1.2	Socket S1g2	Q4 2008	TMRM75DAM22GG
Turion X2 RM-76	2300MHz	2 x 512 KB	11.5x	0.75-1.2	Socket S1g2	Q4 2008	TMRM76DAM22GG
Turion X2 RM-77	2300MHz	2 x 512 KB	11.5x	0.75-1.2	Socket S1g2	Q4 2008	TMRM77DAM22GG
Athlon X2 QL-60	1900MHz	2 x 512 KB	9.5x	0.95-1.1	Socket S1g2	June 4, 2008	AMQL60DAM22GG
Athlon X2 QL-62	2000MHz	2 x 512 KB	10x	0.95-1.1	Socket S1g2	Q3 2008	AMQL62DAM22GG
Athlon X2 QL-64	2100MHz	2 x 512 KB	10.5x	0.95-1.1	Socket S1g2	Q4 2008	AMQL64DAM22GG
Athlon X2 QL-65	2100MHz	2 x 512 KB	10.5x	0.95-1.1	Socket S1g2	Q4 2008	AMQL65DAM22GG
Athlon X2 QL-66	2200MHz	2 x 512 KB	11x	0.95-1.1	Socket S1g2	Q4 2008	AMQL66DAM22GG
Athlon X2 QL-67	2200MHz	2 x 512 KB	11x	0.95-1.1	Socket S1g2	Q4 2008	AMQL67DAM22GG
