Rider	Bike	Laps	Time	Grid
Ryuichi Kiyonari	Honda CBR1000RR	25	36:14.904	3
Noriyuki Haga	Yamaha YZF-R1	25	+1.848	2
Troy Corser	Yamaha YZF-R1	25	+8.883	5
Max Neukirchner	Suzuki GSX-R1000	25	+11.180	8
Fonsi Nieto	Suzuki GSX-R1000	25	+12.928	10
Michel Fabrizio	Ducati 1098 F08	25	+13.696	12
Tom Sykes	Suzuki GSX-R1000	25	+13.872	6
Carlos Checa	Honda CBR1000RR	25	+14.009	11
Jakub Smrz	Ducati 1098 RS 08	25	+19.065	4
Lorenzo Lanzi	Ducati 1098 RS 08	25	+19.864	14
Troy Bayliss	Ducati 1098 F08	25	+20.479	1
Max Biaggi	Ducati 1098 RS 08	25	+20.621	7
Gregorio Lavilla	Honda CBR1000RR	25	+20.722	13
Roberto Rolfo	Honda CBR1000RR	25	+24.512	19
Chris Walker	Honda CBR1000RR	25	+32.090	23
Régis Laconi	Kawasaki ZX-10R	25	+32.207	22
Kenan Sofuoğlu	Honda CBR1000RR	25	+32.815	17
Makoto Tamada	Kawasaki ZX-10R	25	+33.648	25
Sébastien Gimbert	Yamaha YZF-R1	25	+35.382	18
David Checa	Yamaha YZF-R1	25	+44.866	20
Ayrton Badovini	Kawasaki ZX-10R	25	+53.969	21
Shuhei Aoyama	Honda CBR1000RR	25	+1:00.875	24
Jason Pridmore	Honda CBR1000RR	25	+1:01.104	27
Luca Morelli	Honda CBR1000RR	25	+1:04.329	29
Yukio Kagayama	Suzuki GSX-R1000	24	+1 Lap	9
Karl Muggeridge	Honda CBR1000RR	17	Retirement	16
Vittorio Iannuzzo	Kawasaki ZX-10R	15	Retirement	26
Tristan Palmer	Yamaha YZF-R1	9	Retirement	28
Christian Zaiser	Yamaha YZF-R1	4	Retirement	30
