Tie no	Home team	Score	Away team	Attendance
1	Jarrow Roofing Boldon Community Association	1–0	Norton & Stockton Ancients	50
2	Chester-Le-Street Town	2–1	Billingham Synthonia	103
3	Winterton Rangers	1–0	Morpeth Town	55
4	Selby Town	4–0	Pickering Town	134
5	Marske United	1–1	Horden Colliery Welfare	93
6	Wakefield	1–1	West Auckland Town	75
7	Ashington	1–3	Newcastle Blue Star	139
8	Liversedge	2–0	Dunston Federation	159
9	Bridlington Town	1–2	Newcastle Benfield	173
10	Durham City	2–2	Silsden	98
11	Spennymoor Town	3–2	Garforth Town	227
12	Shildon	5–4	Goole	170
13	Brigg Town	4–0	South Shields	116
14	Tow Law Town	0–0	Billingham Town	108
15	Hall Road Rangers	1–0	Crook Town	97
16	Esh Winning	1–4	Harrogate Railway Athletic	70
17	Consett	4–0	Darlington Railway Athletic	120
18	Ossett Albion	0–1	Bradford Park Avenue	278
19	Cheadle Town	3–0	Ashton Town	74
20	Chorley	2–0	Warrington Town	322
21	Atherton Collieries	3–1	Bacup Borough	52
22	Parkgate	2–1	Alsager Town	52
23	Clitheroe	3–2	St Helens Town	210
24	Colwyn Bay	2–2	Congleton Town	398
25	Maine Road	0–3	Skelmersdale United	89
26	Winsford United	1–3	Penrith	108
27	Radcliffe Borough	3–0	Lancaster City	156
28	Colne	1–3	Nantwich Town	127
29	Trafford	2–5	FC United of Manchester	2,238
30	Woodley Sports	1–1	Mossley A.F.C.	129
31	Rossendale United	0–2	Dinnington Town	89
32	Hallam	2–2	AFC Emley	226
33	Flixton	1–0	Salford City	133
34	Cammell Laird	2–0	Sheffield	130
35	Bamber Bridge	2–0	Oldham Town	115
36	Stocksbridge Park Steels	3–2	Curzon Ashton	96
37	Leamington	1–0	Shifnal Town	581
38	Bromyard Town	1–4	Shepshed Dynamo	78
39	Retford United	1–2	Tipton Town	223
40	Rushall Olympic	3–0	Boldmere St Michaels	101
41	Pelsall Villa	1–6	Quorn	84
42	Causeway United	1–1	Westfields	111
43	Glapwell	1–0	Stone Dominoes	60
44	Mickleover Sports	0–0	Long Eaton United	147
45	Bolehall Swifts	1–3	Alvechurch	86
46	Brierley Hill & Withymoor	1–0	Staveley Miners Welfare	94
47	Sutton Coldfield Town	1–1	Romulus	233
48	Evesham United	1–0	Gresley Rovers	123
49	Loughborough Dynamo	1–1	Market Drayton Town	155
50	New Mills	1–3	Atherstone Town	234
51	Rocester	1–0	Wellington (Herefords)	102
52	Southam United	0–2	Stratford Town	155
53	Stourbridge	2–1	Highgate United	144
54	Barwell	0–4	Biddulph Victoria	92
55	Chasetown	4–1	Oadby Town	321
56	South Normanton Athletic	1–1	Bedworth United	90
57	Teversal	0–0	Rainworth Miners Welfare	TBC
58	Barnt Green Spartak	3–2 4	Willenhall Town	112
59	Carlton Town	2–1	Pilkington XXX	107
60	Meir K A	1–1	Gedling Town	52
61	Oldbury United	1–3	Kidsgrove Athletic	74
62	Belper Town	3–3	Stourport Swifts	137
63	Malvern Town	3–0	Glossop North End	63
64	Deeping Rangers	0–0	Dereham Town	152
65	Diss Town	0–1	Kirkley & Pakefield	170
66	Ipswich Wanderers	1–10	Needham Market	176
67	Ely City	0–1	Boston Town	166
68	Yaxley	0–3	Soham Town Rangers	146
69	Spalding United	5–1	Norwich United	104
70	Blackstones	0–0	Grantham Town	240
71	Walsham-le-Willows	0–0	Haverhill Rovers	146
72	Mildenhall Town	2–1	St Ives Town	176
73	Holbeach United	2–0	Newmarket Town	132
74	Debenham L C	2–0	Gorleston	125
75	Woodbridge Town	0–2	Wroxham	91
76	A.F.C. Sudbury	2–3	Bury Town	406
77	Stanway Rovers	0–3	Saffron Walden Town	89
78	Wivenhoe Town	0–4	Concord Rangers	94
79	Tilbury	0–4	Great Wakering Rovers	79
80	Hillingdon Borough	0–0	Barking	95
81	Tring Athletic	4–4	Hertford Town	141
82	Enfield Town	2–1	A.F.C. Hayes	209
83	Rothwell Town	2–1	Canvey Island	232
