Tournament	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	1R	1R	1R
French Open	A	A	Q3	1R	1R
Wimbledon	A	A	Q1	2R	2R
US Open	Q1	Q1	2R	1R	2R
Win–Loss	0–0	0–0	1–2	1–4	2–4
Davis Cup	Davis Cup	Davis Cup	Davis Cup	Davis Cup	Davis Cup
Davis Cup	A	A	A	A	SF
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells Masters	A	A	2R	4R	4R
Miami Masters	Q1	A	1R	1R	2R
Monte Carlo Masters	A	A	A	A	A
Rome Masters	A	A	A	A	Q1
Madrid Masters	A	A	A	A	2R
Canada Masters	A	A	A	A	A
Cincinnati Masters	Q1	Q1	A	2R	1R
Shanghai Masters	A	A	A	2R	1R
Paris Masters	A	A	A	A	A
Win–Loss	0–0	0–0	1–2	5–4	5–5
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Tournaments Played	1	0	9	19	22
Titles	0	0	0	0	0
Finals	0	0	0	0	0
Hardcourt Win–Loss	0–0	0–0	2–7	13–14	11–13
Grass Win–Loss	0–0	0–0	2–2	1–3	7–4
Clay Win–Loss	1–1	0–0	0–0	0–2	5–7
Overall Win–Loss	1–1	0–0	4–9	14–19	23–24
Win %	50%	–	31%	42%	49%
Year End Ranking	748	360	173	79	69
