Game #	Date	Visitor	Score	Home	Decision	Attendance	Record	Points
67	March 1	Toronto	3–2	Washington	Toskala	18,277	29–28–10	68
68	March 4	New Jersey	4–1	Toronto	Toskala	19,507	29–29–10	68
69	March 6	Toronto	8–2	Boston	Toskala	15,483	30–29–10	70
70	March 8	New Jersey	2–1	Toronto	Toskala	19,469	30–30–10	70
71	March 11	Philadelphia	3–4	Toronto	Toskala	19,507	31–30–10	72
72	March 12	Toronto	3–2	Philadelphia	Toskala	19,642	32–30–10	74
73	March 15	Buffalo	6–2	Toronto	Toskala	19,462	32–31–10	74
74	March 18	Toronto	3–1	NY Islanders	Toskala	13,134	33–31–10	76
75	March 21	Toronto	4–1	Buffalo	Toskala	18,690	34–31–10	78
76	March 22	Toronto	5–4	Ottawa	Toskala	20,183	35–31–10	80
77	March 25	Boston	6–2	Toronto	Toskala	19,562	35–32–10	80
78	March 27	Toronto	2–4	Boston	Toskala	16,659	35–33–10	80
79	March 29	Montreal	2–4	Toronto	Toskala	19,584	36–33–10	82
