Coach	Season	Record	Home	Away	Win %	Average (Total) Home Attendance
Jim Miceli	1999	3-2	2-0	1-2	.600	2,940 (5,880)
Jim Miceli	2000	6-3	4-1	2-2	.666	2,181 (10,905)
Jim Miceli	2001	7-2	4-1	3-1	.777	3,221 (16,105)
Jim Miceli	2002	6-3	3-1	3-2	.666	2,912 (11,648)
Jim Miceli	2003	4-5	3-1	1-4	.444	2,706 (10,824)
Marty Fine	2004	5-5	2-3	3-2	.500	3,305 (16,525)
Marty Fine	2005	7-3	5-0	2-3	.700	3,999 (19,995)
Marty Fine	2006	8-3	5-2	3-1	.750	4,226 (29,582)
Marty Fine	2007	8-3	4-0	4-3	.750	4,686 (18,744)
Marty Fine	2008	7-4	4-1	3-3	.637	5,302 (26,510)
Marty Fine	2009	5-6	3-2	2-4	.475	4,617 (23,805)
Marty Fine	2010	7-4	6-1	1-3	.637	4,391 (30,742)
Marty Fine	2011	7-4	4-2	3-2	.636	5,929 (35,572)
Marty Fine	2012	4-7	2-4	2-3	.364	3,288 (19,723)
Marty Fine	2013	4-4	3-2	1-2	.500	3,927 (19,633)
Totals	1999-2013	88-58	54-21	34-37	.603	3,898 (292,316)
