Rider	Bike	Laps	Time	Grid
Ryuichi Kiyonari	Honda CBR1000RR	25	36:18.607	3
Troy Bayliss	Ducati 1098 F08	25	+0.137	1
Max Biaggi	Ducati 1098 RS 08	25	+0.180	7
Yukio Kagayama	Suzuki GSX-R1000	25	+5.733	9
Fonsi Nieto	Suzuki GSX-R1000	25	+6.499	10
Carlos Checa	Honda CBR1000RR	25	+6.984	11
Max Neukirchner	Suzuki GSX-R1000	25	+8.300	8
Troy Corser	Yamaha YZF-R1	25	+10.732	5
Jakub Smrz	Ducati 1098 RS 08	25	+16.547	4
Roberto Rolfo	Honda CBR1000RR	25	+16.569	19
Lorenzo Lanzi	Ducati 1098 RS 08	25	+18.366	14
Michel Fabrizio	Ducati 1098 F08	25	+22.308	12
Kenan Sofuoğlu	Honda CBR1000RR	25	+26.788	17
Gregorio Lavilla	Honda CBR1000RR	25	+26.856	13
Chris Walker	Honda CBR1000RR	25	+32.877	23
Karl Muggeridge	Honda CBR1000RR	25	+38.329	16
David Checa	Yamaha YZF-R1	25	+46.868	20
Makoto Tamada	Kawasaki ZX-10R	25	+48.417	25
Noriyuki Haga	Yamaha YZF-R1	25	+58.986	2
Vittorio Iannuzzo	Kawasaki ZX-10R	25	+1:06.028	26
Luca Morelli	Honda CBR1000RR	25	+1:09.376	29
Jason Pridmore	Honda CBR1000RR	25	+1:09.475	27
Christian Zaiser	Yamaha YZF-R1	25	+1:22.214	30
Régis Laconi	Kawasaki ZX-10R	22	Accident	22
Ayrton Badovini	Kawasaki ZX-10R	16	Retirement	21
Sébastien Gimbert	Yamaha YZF-R1	12	Retirement	18
Tom Sykes	Suzuki GSX-R1000	9	Retirement	6
Tristan Palmer	Yamaha YZF-R1	7	Retirement	28
Shuhei Aoyama	Honda CBR1000RR	3	Retirement	24
