Tie no	Home team	Score	Away team	Date
1	Preston North End	2–1	Blackpool	11 December 1982
2	Gillingham	1–1	Northampton Town	11 December 1982
Replay	Northampton Town	3–2	Gillingham	14 December 1982
3	Swindon Town	2–2	Brentford	11 December 1982
Replay	Brentford	1–3	Swindon Town	14 December 1982
4	Bristol Rovers	2–2	Plymouth Argyle	11 December 1982
Replay	Plymouth Argyle	1–0	Bristol Rovers	20 December 1982
5	Portsmouth	1–3	Aldershot	11 December 1982
6	Worcester City	2–1	Wrexham	11 December 1982
7	Altrincham	0–1	Huddersfield Town	11 December 1982
8	Southend United	3–0	Yeovil Town	11 December 1982
9	Scunthorpe United	2–1	Northwich Victoria	11 December 1982
10	Mansfield Town	1–1	Bradford City	11 December 1982
Replay	Bradford City	3–2	Mansfield Town	15 December 1982
11	Cardiff City	2–3	Weymouth	11 December 1982
12	Newport County	1–0	Orient	11 December 1982
13	Torquay United	4–1	Carshalton Athletic	11 December 1982
14	North Shields	0–3	Walsall	11 December 1982
15	Boston United	1–1	Sheffield United	11 December 1982
Replay	Sheffield United	5–1	Boston United	14 December 1982
16	Peterborough United	5–2	Doncaster Rovers	11 December 1982
17	Slough Town	1–4	Bishop's Stortford	11 December 1982
18	Oxford United	4–0	Worthing	11 December 1982
19	Telford United	1–1	Tranmere Rovers	11 December 1982
Replay	Tranmere Rovers	2–1	Telford United	14 December 1982
20	Hartlepool United	1–1	York City	11 December 1982
Replay	York City	4–0	Hartlepool United	14 December 1982
