Season	Series	Team Name	Races	Wins	Poles	F/Laps	Podiums	Points	Final Placing
2006	Asian Formula Renault 2.0	Asia Racing Team	12	0	0	0	4	182	3rd
2007	Formula BMW Asia	CIMB Qi-Meritus	22	10	0	5	16	768	1st
2007	Formula BMW World Final	AM-Holzer Rennsport GmbH	1	0	0	0	0	N/A	18th
2008	Formula BMW Europe	AM-Holzer Rennsport GmbH	16	0	0	0	0	67	14th
2008	Formula BMW World Final	Eifelland Racing	1	0	0	0	0	N/A	5th
2009	Formula BMW Europe	Eifelland Racing	16	0	0	2	2	123	9th
2009	Formula BMW Pacific	Räikkönen Robertson Racing	1	0	0	0	0	N/A	NC†
2010	British Formula Three	Carlin	30	0	0	0	2	85	12th
2010	Masters of Formula 3	Carlin	1	0	0	0	0	N/A	NC
2010	Macau Grand Prix	Carlin	1	0	0	0	0	N/A	14th
2011	British Formula Three	Carlin	30	0	0	0	4	187	6th
2011	FIA Formula 3 International Trophy	Carlin	8	0	0	0	1	21	7th
2011	Formula 3 Euro Series	Carlin	3	0	0	0	0	N/A	NC†
2011	Masters of Formula 3	Carlin	1	0	0	0	0	N/A	10th
2011	Macau Grand Prix	Carlin	1	0	0	0	0	N/A	8th
2012	British Formula Three	Carlin	28	3	0	3	15	306	2nd
2013	Formula Renault 3.5 Series	Carlin	17	0	0	0	1	24	17th
2013	British Formula Three	Carlin	3	2	2	0	3	58	9th
