Club	Season's Last Head Coach	City	Stadium	2004-2005 season
Académica de Coimbra	Nelo Vingada Category:Articles with hCards	Coimbra	Estádio Cidade de Coimbra	14th in the Liga
Belenenses	Carlos Carvalhal Category:Articles with hCards	Lisbon	Estádio do Restelo	9th in the Liga
Benfica	Ronald Koeman Category:Articles with hCards	Lisbon	Estádio da Luz	1st in the Liga
Boavista	Carlos Brito	Porto	Estádio do Bessa – Século XXI	6th in the Liga
Braga	Jesualdo Ferreira Category:Articles with hCards	Braga	Estádio Municipal de Braga - AXA	4th in the Liga
Estrela da Amadora	Toni	Amadora	Estádio José Gomes	3rd in the Liga de Honra
Gil Vicente	Paulo Alves Category:Articles with hCards	Barcelos	Estádio Cidade de Barcelos	13th in the Liga
União de Leiria	Jorge Jesus	Leiria	Estádio Dr. Magalhães Pessoa	15th in the Liga
Penafiel	Luís Castro	Penafiel	Estádio Municipal 25 de Abril	11th in the Liga
Marítimo	Ulisses Morais	Funchal	Estádio dos Barreiros	7th in the Liga
Nacional	Manuel Machado Category:Articles with hCards	Funchal	Estádio da Madeira	12th in the Liga
Naval 1° de Maio	Rogério Gonçalves	Figueira da Foz	Estádio Municipal José Bento Pessoa	2nd in the Liga de Honra
Paços de Ferreira	José Mota Category:Articles with hCards	Paços de Ferreira	Estádio da Mata Real	1st in the Liga de Honra
Porto	Co Adriaanse Category:Articles with hCards	Porto	Estádio do Dragão	2nd in the Liga
Sporting CP	Paulo Bento Category:Articles with hCards	Lisbon	Estádio José Alvalade – Século XXI	3rd in the Liga
Rio Ave	João Eusébio	Vila do Conde	Estádio dos Arcos	8th in the Liga
Vitória de Guimarães	Vítor Pontes	Guimarães	Estádio D. Afonso Henriques	5th in the Liga
Vitória de Setúbal	Hélio Sousa	Setúbal	Estádio do Bonfim	10th in the Liga
