Event	Time	Nationality	Date	Meet	Location
50m freestyle	25.02	Russia	30 August 2013	2013 Championships	Dubai , United Arab Emirates
100m freestyle	54.47	Hong Kong	28 August 2013	2013 Championship	Dubai , United Arab Emirates
200m freestyle	1:58.93	Canada	21 August 2011	2011 Championships	Lima , Peru
400m freestyle	4:06.30	Russia	11 July 2008	2008 Championships	Monterrey , Mexico
800m freestyle	8:32.30	Australia	17 August 2011	2011 Championships	Lima , Peru
1500m freestyle	16:18.63	Slovenia	20 August 2011	2011 Championships	Lima , Peru
50m backstroke	28.14	New Zealand	29 August 2013	2013 Championships	Dubai , United Arab Emirates
100m backstroke	1:00.59	Ukraine	17 August 2011	2011 Championships	Lima , Peru
200m backstroke	2:09.74	United States	28 August 2013	2013 Championships	Dubai , United Arab Emirates
50m breaststroke	29.86	Lithuania	27 August 2013	2013 Championship	Dubai , United Arab Emirates
100m breaststroke	1:06.61	Lithuania	29 August 2013	2013 Championships	Dubai , United Arab Emirates
200m breaststroke	2:23.12	Ukraine	31 August 2013	2013 Championships	Dubai , United Arab Emirates
50m butterfly	26.32	Russia	29 August 2013	2013 Championships	Dubai , United Arab Emirates
100m butterfly	58.34	Russia	31 August 2013	2013 Championships	Dubai , United Arab Emirates
200m butterfly	2:08.10	Japan	9 July 2008	2008 Championships	Monterrey , Mexico
200m individual medley	2:12.32	Lithuania	29 August 2013	2013 Championships	Dubai , United Arab Emirates
400m individual medley	4:40.02	United States	26 August 2013	2013 Championships	Dubai , United Arab Emirates
4×100m freestyle relay	3:41.40	Russia	30 August 2013	2013 Championships	Dubai , United Arab Emirates
4×200m freestyle relay	7:59.42	United States	26 August 2013	2013 Championships	Dubai , United Arab Emirates
4×100 m medley relay	4:04.48	Russia	31 August 2013	2013 Championships	Dubai , United Arab Emirates
