-	Driver	Seasons	Entries	2nd places	Percentage
1	Michael Schumacher	1991 – 2006 , 2010 – 2012	308	43	13.96%
2	Fernando Alonso	2001 , 2003 – 2013	215	36	16.74%
3	Alain Prost	1980 – 1991 , 1993	202	34	16.83%
4	Rubens Barrichello	1993 – 2011	326	29	8.89%
4	Kimi Räikkönen	2001 – 2013	194	29	14.95%
6	David Coulthard	1994 – 2008	247	26	10.52%
7	Ayrton Senna	1984 – 1994	162	23	14.19%
8	Niki Lauda	1971 – 1979 , 1982 – 1985	177	20	11.29%
8	Nelson Piquet	1978 – 1991	207	20	9.66%
10	Nigel Mansell	1980 – 1992 , 1994 – 1995	191	17	8.90%
10	Riccardo Patrese	1977 – 1993	257	17	6.61%
