Tie No.	Home team	Score	Away team	Report	Attendance
1	Aberdeen	3 – 1	Dumbarton	Details	3944
2	Arbroath	3 – 4 (aet)	Falkirk	Details	923
3	Brechin City	1 – 0	Kilmarnock	Details	829
4	Clyde	2 – 1	Airdrie United	Details	1381
5	Dundee United	3 – 1	Morton	Details	5638
6	Forfar Athletic	( p ) 3 – 3	Motherwell	Details	1110
7	Hibernian	9 – 0	Montrose	Details	5032
8	Queen's Park	1 – 3	Livingston	Details	1011
9	Ross County	0 – 3	Queen of the South	Details	959
10	St. Johnstone	3 – 2 (aet)	Hamilton	Details	1471
11	Dunfermline	2 – 0	Cowdenbeath	Details	3582
