Week	Date	Opponent	Result	Attendance
1	September 2, 1979	at Washington Redskins	W 29–27	54,582
2	September 9, 1979	at Pittsburgh Steelers	L 38–7	49,792
3	September 16, 1979	Kansas City Chiefs	W 20–6	45,684
4	September 23, 1979	at Cincinnati Bengals	W 30–27	45,615
5	September 30, 1979	Cleveland Browns	W 31–10	48,915
6	October 7, 1979	St. Louis Cardinals	L 24–17	53,043
7	October 14, 1979	at Baltimore Colts	W 28–16	45,021
8	October 21, 1979	at Seattle Seahawks	L 34–14	60,705
9	October 28, 1979	New York Jets	W 27–24	45,825
10	November 5, 1979	at Miami Dolphins	W 9–6	70,273
11	November 11, 1979	Oakland Raiders	W 31–17	48,614
12	November 18, 1979	Cincinnati Bengals	W 42–21	49,829
13	November 22, 1979	at Dallas Cowboys	W 30–24	63,897
14	December 2, 1979	at Cleveland Browns	L 14–7	69,112
15	December 10, 1979	Pittsburgh Steelers	W 20–17	55,293
16	December 16, 1979	Philadelphia Eagles	L 26–20	49,407
